#automaid v3.4.0-Z (https://github.com/earthscopeoceans/automaid)
#created 2021-05-28T16:42:41Z
#                               filename          interp_STLA    interp_STLO      STDP
20180916T211414.24_5D6AA8B0.MER.REQ.WLT5           -24.243399    -145.511414    -12345
20180916T211603.24_5BA7EBC8.MER.DET.WLT5           -24.243402    -145.511414      1509
20180928T101241.24_5D66C150.MER.REQ.WLT5           -24.300455    -145.470398    -12345
20180928T103810.24_5D66C150.MER.REQ.WLT3           -24.300653    -145.470291    -12345
20180930T105623.24_5BB0F63C.MER.DET.WLT5           -24.323257    -145.457138      1499
20181007T174629.24_5BBA93FE.MER.DET.WLT5           -24.420601    -145.422119      1513
20181010T205523.24_5D66C150.MER.REQ.WLT5           -24.471716    -145.395798    -12345
20181010T232538.24_5D66C150.MER.REQ.WLT5           -24.473673    -145.395004    -12345
20181016T003238.24_5D66C150.MER.REQ.WLT5           -24.568373    -145.356796    -12345
20181016T010809.24_5D62D93C.MER.REQ.WLT5           -24.568836    -145.356613    -12345
20181022T054759.24_5D62D93C.MER.REQ.WLT5           -24.615326    -145.311569    -12345
20181022T062448.24_5D62D93C.MER.REQ.WLT5           -24.615499    -145.311371    -12345
20181025T231132.24_5D62D93C.MER.REQ.WLT5           -24.637827    -145.277710    -12345
20181109T020521.24_5D5EEFE6.MER.REQ.WLT5           -24.601301    -145.009613    -12345
20181115T201132.24_5D5EEFE6.MER.REQ.WLT5           -24.548981    -144.837540    -12345
20181118T203000.24_5BF219E6.MER.DET.WLT5           -24.528151    -144.760132      1506
20181201T133616.24_5D5EEFE6.MER.REQ.WLT5           -24.555679    -144.421539    -12345
20181205T042241.24_5D5EEFE6.MER.REQ.WLT5           -24.587555    -144.324677    -12345
20181205T042439.24_5C07A284.MER.DET.WLT5           -24.587566    -144.324631      1511
20181211T023514.24_5D5EEFE6.MER.REQ.WLT5           -24.619860    -144.220215    -12345
20181223T231257.24_5C28FEC4.MER.DET.WLT5           -24.682775    -144.142273      1521
20181229T034847.24_5D5B0E78.MER.REQ.WLT5           -24.708443    -144.137772    -12345
20190106T173652.24_5D5B0E78.MER.REQ.WLT5           -24.750708    -144.137939    -12345
20190120T013956.24_5D5B0E78.MER.REQ.WLT5           -24.912878    -144.267181    -12345
20190122T051946.24_5D5B0E78.MER.REQ.WLT5           -24.941200    -144.282974    -12345
20190122T153237.24_5D5728E1.MER.REQ.WLT5           -24.946800    -144.286102    -12345
20190126T200050.24_5C54BF84.MER.DET.WLT5           -25.016151    -144.363022      1506
20190201T162121.24_5D5728E1.MER.REQ.WLT5           -25.120468    -144.437317    -12345
20190201T162307.24_5C54BF84.MER.DET.WLT5           -25.120491    -144.437332      1515
20190222T102452.24_5D5728E1.MER.REQ.WLT5           -25.615021    -144.743378    -12345
20190222T102642.24_5C701AD0.MER.DET.WLT5           -25.615051    -144.743378      1497
20190301T085804.24_5D5728E1.MER.REQ.WLT5           -25.721962    -144.786514    -12345
20190301T085956.24_5C7943BC.MER.DET.WLT5           -25.721979    -144.786530      1516
20190306T154854.24_5D5728E1.MER.REQ.WLT5           -25.816900    -144.802887    -12345
20190323T193100.24_5C96DE22.MER.DET.WLT5           -25.773378    -144.749893      1519
20190402T214440.24_5D5728E1.MER.REQ.WLT5           -25.754635    -144.800964    -12345
20190405T162312.24_5DB44BF0.MER.REQ.WLT5           -25.773069    -144.823654    -12345
20190412T115033.24_5DB064EA.MER.REQ.WLT5           -25.865698    -144.860062    -12345
20190423T054747.24_5DB064EA.MER.REQ.WLT5           -26.163540    -144.927780    -12345
20190506T212847.24_5CD9AD88.MER.DET.WLT5           -26.288370    -145.072693      1514
20190526T074848.24_5DB064EA.MER.REQ.WLT5           -26.256178    -145.182449    -12345
20190526T075040.24_5CEA9941.MER.DET.WLT5           -26.256170    -145.182449      1521
20190530T091057.24_5DB064EA.MER.REQ.WLT5           -26.229538    -145.221283    -12345
20190624T030407.24_5D108D4C.MER.DET.WLT5           -25.850828    -146.272720      1517
20190824T155758.24_5D62D93C.MER.DET.WLT5           -25.478161    -146.329803      1493
20190901T155807.24_5D6E876C.MER.DET.WLT5           -25.326809    -146.425171      1476
20191108T104846.24_5DC7A4C8.MER.DET.WLT5           -25.876612    -145.105545      1500
20191220T115739.24_5DFD07A6.MER.DET.WLT5           -25.007349    -144.634811      1500
20200325T030049.24_5E7CE03F.MER.DET.WLT5           -25.506310    -143.362396      1490
20200414T011120.24_5E97FA30.MER.DET.WLT5           -24.939323    -143.354446      1517
20200610T043357.24_5EE0B14E.MER.DET.WLT5           -24.769951    -142.714111      1512
20200717T054950.24_5F1318B5.MER.DET.WLT5           -25.094553    -142.651535      1516
20200815T071340.24_6092EB2D.MER.REQ.WLT5           -25.468887    -142.698227    -12345
20201010T134736.24_6092EB2D.MER.REQ.WLT5           -24.401705    -142.631226    -12345
20201019T210533.24_5F8E5064.MER.DET.WLT5           -24.212595    -142.439880      1508
20201028T143154.24_5F99EC4A.MER.DET.WLT5           -24.080753    -142.295563      1524
20201201T220129.24_5FC869DA.MER.DET.WLT5           -24.455095    -142.117340      1522
