-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1531.6475  1024.7428 36.1855 23.3194
-50000.00 10.00 1531.7763  1024.7905 36.1848 23.3032
-50000.00 20.00 1531.8440  1024.8439 36.1824 23.2633
-50000.00 30.00 1531.7494  1024.9111 36.1745 23.1615
-50000.00 40.00 1531.4534  1024.9944 36.1587 22.9838
-50000.00 50.00 1531.0020  1025.0888 36.1362 22.7491
-50000.00 60.00 1530.4837  1025.1870 36.1104 22.4913
-50000.00 70.00 1529.9580  1025.2841 36.0837 22.2331
-50000.00 80.00 1529.4467  1025.3778 36.0561 21.9828
-50000.00 90.00 1528.9665  1025.4662 36.0274 21.7466
-50000.00 100.00 1528.5270  1025.5484 35.9977 21.5280
-50000.00 110.00 1528.1264  1025.6248 35.9667 21.3261
-50000.00 120.00 1527.7649  1025.6958 35.9350 21.1404
-50000.00 130.00 1527.4350  1025.7627 35.9029 20.9676
-50000.00 140.00 1527.1173  1025.8269 35.8697 20.8007
-50000.00 150.00 1526.7710  1025.8901 35.8327 20.6260
-50000.00 160.00 1526.3622  1025.9546 35.7907 20.4316
-50000.00 170.00 1525.9029  1026.0201 35.7446 20.2212
-50000.00 180.00 1525.2181  1026.0920 35.6827 19.9388
-50000.00 190.00 1524.4621  1026.1658 35.6157 19.6336
-50000.00 200.00 1523.4066  1026.2511 35.5337 19.2346
-50000.00 210.00 1522.0819  1026.3466 35.4384 18.7512
-50000.00 220.00 1520.7571  1026.4421 35.3430 18.2677
-50000.00 230.00 1519.0171  1026.5582 35.2442 17.6650
-50000.00 240.00 1517.1227  1026.6820 35.1442 17.0179
-50000.00 250.00 1515.2284  1026.8059 35.0441 16.3708
-50000.00 260.00 1513.3256  1026.9308 34.9516 15.7288
-50000.00 270.00 1511.3982  1027.0591 34.8817 15.1021
-50000.00 280.00 1509.4707  1027.1875 34.8118 14.4754
-50000.00 290.00 1507.5433  1027.3158 34.7419 13.8486
-50000.00 300.00 1505.6184  1027.4440 34.6723 13.2229
-50000.00 310.00 1504.0563  1027.5571 34.6360 12.7318
-50000.00 320.00 1502.4943  1027.6701 34.5998 12.2408
-50000.00 330.00 1500.9322  1027.7831 34.5635 11.7497
-50000.00 340.00 1499.3701  1027.8961 34.5273 11.2587
-50000.00 350.00 1497.8081  1028.0092 34.4910 10.7676
-50000.00 360.00 1496.7257  1028.1025 34.4754 10.4270
-50000.00 370.00 1495.6783  1028.1944 34.4612 10.0974
-50000.00 380.00 1494.6309  1028.2863 34.4470 9.7678
-50000.00 390.00 1493.5835  1028.3783 34.4328 9.4382
-50000.00 400.00 1492.5361  1028.4702 34.4187 9.1086
-50000.00 410.00 1491.4917  1028.5620 34.4046 8.7798
-50000.00 420.00 1490.8664  1028.6366 34.3995 8.5723
-50000.00 430.00 1490.2412  1028.7112 34.3944 8.3648
-50000.00 440.00 1489.6160  1028.7858 34.3893 8.1573
-50000.00 450.00 1488.9908  1028.8604 34.3842 7.9497
-50000.00 460.00 1488.3656  1028.9350 34.3791 7.7422
-50000.00 470.00 1487.7404  1029.0096 34.3740 7.5347
-50000.00 480.00 1487.1821  1029.0815 34.3695 7.3457
-50000.00 490.00 1486.8215  1029.1451 34.3668 7.2113
-50000.00 500.00 1486.4609  1029.2087 34.3641 7.0770
-50000.00 510.00 1486.1002  1029.2723 34.3615 6.9426
-50000.00 520.00 1485.7396  1029.3359 34.3588 6.8082
-50000.00 530.00 1485.3790  1029.3995 34.3561 6.6739
-50000.00 540.00 1485.0184  1029.4631 34.3534 6.5395
-50000.00 550.00 1484.6577  1029.5267 34.3508 6.4051
-50000.00 560.00 1484.4201  1029.5864 34.3497 6.3032
-50000.00 570.00 1484.2282  1029.6446 34.3491 6.2132
-50000.00 580.00 1484.0363  1029.7028 34.3486 6.1233
-50000.00 590.00 1483.8444  1029.7610 34.3481 6.0334
-50000.00 600.00 1483.6525  1029.8192 34.3476 5.9434
-50000.00 610.00 1483.4605  1029.8773 34.3470 5.8535
-50000.00 620.00 1483.2686  1029.9355 34.3465 5.7636
-50000.00 630.00 1483.0767  1029.9937 34.3460 5.6736
-50000.00 640.00 1482.9421  1030.0510 34.3470 5.5980
-50000.00 650.00 1482.8591  1030.1076 34.3495 5.5354
-50000.00 660.00 1482.7760  1030.1641 34.3519 5.4727
-50000.00 670.00 1482.6930  1030.2206 34.3544 5.4100
-50000.00 680.00 1482.6100  1030.2771 34.3568 5.3473
-50000.00 690.00 1482.5269  1030.3336 34.3593 5.2846
-50000.00 700.00 1482.4439  1030.3901 34.3617 5.2219
-50000.00 710.00 1482.3608  1030.4466 34.3642 5.1592
-50000.00 720.00 1482.2778  1030.5031 34.3666 5.0965
-50000.00 730.00 1482.2467  1030.5591 34.3706 5.0465
-50000.00 740.00 1482.2321  1030.6148 34.3751 5.0005
-50000.00 750.00 1482.2174  1030.6706 34.3796 4.9545
-50000.00 760.00 1482.2027  1030.7264 34.3841 4.9085
-50000.00 770.00 1482.1881  1030.7821 34.3885 4.8625
-50000.00 780.00 1482.1734  1030.8379 34.3930 4.8165
-50000.00 790.00 1482.1587  1030.8937 34.3975 4.7705
-50000.00 800.00 1482.1441  1030.9494 34.4020 4.7244
-50000.00 810.00 1482.1294  1031.0052 34.4064 4.6784
-50000.00 820.00 1482.1379  1031.0603 34.4110 4.6382
-50000.00 830.00 1482.1653  1031.1148 34.4157 4.6026
-50000.00 840.00 1482.1926  1031.1693 34.4204 4.5670
-50000.00 850.00 1482.2199  1031.2238 34.4251 4.5314
-50000.00 860.00 1482.2472  1031.2784 34.4298 4.4958
-50000.00 870.00 1482.2745  1031.3329 34.4345 4.4602
-50000.00 880.00 1482.3018  1031.3874 34.4392 4.4246
-50000.00 890.00 1482.3292  1031.4419 34.4438 4.3890
-50000.00 900.00 1482.3565  1031.4964 34.4485 4.3534
-50000.00 910.00 1482.3842  1031.5509 34.4532 4.3179
-50000.00 920.00 1482.4291  1031.6040 34.4569 4.2870
-50000.00 930.00 1482.4740  1031.6571 34.4606 4.2562
-50000.00 940.00 1482.5188  1031.7102 34.4643 4.2253
