-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1527.1616  1024.6488 35.5168 21.8764
-50000.00 10.00 1527.2459  1024.7033 35.5184 21.8427
-50000.00 20.00 1527.1106  1024.7839 35.5233 21.7239
-50000.00 30.00 1526.6247  1024.9036 35.5309 21.4715
-50000.00 40.00 1525.9741  1025.0381 35.5370 21.1595
-50000.00 50.00 1525.2993  1025.1723 35.5416 20.8420
-50000.00 60.00 1524.6414  1025.3021 35.5450 20.5341
-50000.00 70.00 1523.9893  1025.4287 35.5468 20.2316
-50000.00 80.00 1523.3395  1025.5522 35.5471 19.9332
-50000.00 90.00 1522.7135  1025.6708 35.5458 19.6466
-50000.00 100.00 1522.1501  1025.7810 35.5429 19.3852
-50000.00 110.00 1521.6825  1025.8805 35.5390 19.1601
-50000.00 120.00 1521.3068  1025.9704 35.5345 18.9691
-50000.00 130.00 1520.9873  1026.0544 35.5298 18.7989
-50000.00 140.00 1520.6888  1026.1358 35.5245 18.6370
-50000.00 150.00 1520.3674  1026.2174 35.5178 18.4688
-50000.00 160.00 1520.0210  1026.2997 35.5097 18.2933
-50000.00 170.00 1519.6543  1026.3824 35.5006 18.1118
-50000.00 180.00 1519.2534  1026.4650 35.4888 17.9212
-50000.00 190.00 1518.8419  1026.5476 35.4763 17.7278
-50000.00 200.00 1518.3958  1026.6302 35.4613 17.5252
-50000.00 210.00 1517.9187  1026.7129 35.4442 17.3143
-50000.00 220.00 1517.4415  1026.7955 35.4271 17.1034
-50000.00 230.00 1516.8661  1026.8799 35.4050 16.8652
-50000.00 240.00 1516.2542  1026.9650 35.3811 16.6169
-50000.00 250.00 1515.6422  1027.0501 35.3571 16.3686
-50000.00 260.00 1514.9732  1027.1364 35.3309 16.1047
-50000.00 270.00 1514.1354  1027.2264 35.2979 15.7950
-50000.00 280.00 1513.2977  1027.3163 35.2648 15.4854
-50000.00 290.00 1512.4600  1027.4063 35.2318 15.1757
-50000.00 300.00 1511.6208  1027.4963 35.1987 14.8657
-50000.00 310.00 1510.5712  1027.5877 35.1591 14.5066
-50000.00 320.00 1509.5216  1027.6791 35.1195 14.1474
-50000.00 330.00 1508.4720  1027.7705 35.0798 13.7882
-50000.00 340.00 1507.4225  1027.8619 35.0402 13.4290
-50000.00 350.00 1506.3729  1027.9533 35.0006 13.0698
-50000.00 360.00 1505.3217  1028.0375 34.9630 12.7263
-50000.00 370.00 1504.2704  1028.1212 34.9256 12.3839
-50000.00 380.00 1503.2190  1028.2048 34.8882 12.0415
-50000.00 390.00 1502.1677  1028.2885 34.8507 11.6991
-50000.00 400.00 1501.1164  1028.3722 34.8133 11.3567
-50000.00 410.00 1500.0667  1028.4557 34.7760 11.0148
-50000.00 420.00 1499.2494  1028.5270 34.7483 10.7507
-50000.00 430.00 1498.4321  1028.5983 34.7206 10.4867
-50000.00 440.00 1497.6148  1028.6695 34.6929 10.2226
-50000.00 450.00 1496.7975  1028.7408 34.6652 9.9585
-50000.00 460.00 1495.9801  1028.8120 34.6375 9.6944
-50000.00 470.00 1495.1628  1028.8833 34.6098 9.4303
-50000.00 480.00 1494.4218  1028.9521 34.5848 9.1883
-50000.00 490.00 1493.9061  1029.0136 34.5678 9.0115
-50000.00 500.00 1493.3903  1029.0750 34.5508 8.8347
-50000.00 510.00 1492.8746  1029.1365 34.5338 8.6579
-50000.00 520.00 1492.3588  1029.1980 34.5168 8.4811
-50000.00 530.00 1491.8431  1029.2595 34.4997 8.3043
-50000.00 540.00 1491.3274  1029.3210 34.4827 8.1275
-50000.00 550.00 1490.8116  1029.3825 34.4657 7.9507
-50000.00 560.00 1490.4647  1029.4401 34.4543 7.8195
-50000.00 570.00 1490.1805  1029.4963 34.4450 7.7052
-50000.00 580.00 1489.8963  1029.5524 34.4357 7.5909
-50000.00 590.00 1489.6121  1029.6086 34.4264 7.4767
-50000.00 600.00 1489.3279  1029.6647 34.4171 7.3624
-50000.00 610.00 1489.0438  1029.7209 34.4078 7.2481
-50000.00 620.00 1488.7596  1029.7771 34.3984 7.1339
-50000.00 630.00 1488.4754  1029.8332 34.3891 7.0196
-50000.00 640.00 1488.2583  1029.8883 34.3822 6.9228
-50000.00 650.00 1488.1014  1029.9424 34.3775 6.8417
-50000.00 660.00 1487.9446  1029.9966 34.3727 6.7606
-50000.00 670.00 1487.7878  1030.0507 34.3680 6.6795
-50000.00 680.00 1487.6310  1030.1048 34.3632 6.5984
-50000.00 690.00 1487.4741  1030.1590 34.3585 6.5174
-50000.00 700.00 1487.3173  1030.2131 34.3537 6.4363
-50000.00 710.00 1487.1605  1030.2672 34.3490 6.3552
-50000.00 720.00 1487.0037  1030.3214 34.3442 6.2741
-50000.00 730.00 1486.8854  1030.3755 34.3416 6.2030
-50000.00 740.00 1486.7794  1030.4296 34.3396 6.1350
-50000.00 750.00 1486.6734  1030.4837 34.3377 6.0671
-50000.00 760.00 1486.5674  1030.5378 34.3357 5.9991
-50000.00 770.00 1486.4614  1030.5919 34.3337 5.9311
-50000.00 780.00 1486.3554  1030.6460 34.3317 5.8631
-50000.00 790.00 1486.2494  1030.7001 34.3298 5.7952
-50000.00 800.00 1486.1433  1030.7542 34.3278 5.7272
-50000.00 810.00 1486.0373  1030.8083 34.3258 5.6592
-50000.00 820.00 1485.9426  1030.8628 34.3250 5.5942
-50000.00 830.00 1485.8570  1030.9176 34.3252 5.5316
-50000.00 840.00 1485.7714  1030.9724 34.3253 5.4690
-50000.00 850.00 1485.6858  1031.0272 34.3255 5.4063
-50000.00 860.00 1485.6001  1031.0820 34.3256 5.3437
-50000.00 870.00 1485.5145  1031.1368 34.3258 5.2811
-50000.00 880.00 1485.4289  1031.1916 34.3259 5.2185
-50000.00 890.00 1485.3433  1031.2464 34.3261 5.1558
-50000.00 900.00 1485.2577  1031.3012 34.3262 5.0932
-50000.00 910.00 1485.1726  1031.3561 34.3264 5.0307
-50000.00 920.00 1485.1075  1031.4113 34.3283 4.9733
-50000.00 930.00 1485.0423  1031.4666 34.3301 4.9160
-50000.00 940.00 1484.9772  1031.5219 34.3320 4.8586
-50000.00 950.00 1484.9120  1031.5771 34.3339 4.8013
-50000.00 960.00 1484.8469  1031.6324 34.3357 4.7439
-50000.00 970.00 1484.7817  1031.6877 34.3376 4.6865
-50000.00 980.00 1484.7166  1031.7430 34.3394 4.6292
-50000.00 990.00 1484.6514  1031.7982 34.3413 4.5718
-50000.00 1000.00 1484.5863  1031.8535 34.3432 4.5144
-50000.00 1010.00 1484.5285  1031.9088 34.3454 4.4589
-50000.00 1020.00 1484.4893  1031.9641 34.3485 4.4080
-50000.00 1030.00 1484.4501  1032.0194 34.3517 4.3572
-50000.00 1040.00 1484.4108  1032.0746 34.3548 4.3063
-50000.00 1050.00 1484.3716  1032.1299 34.3580 4.2554
-50000.00 1060.00 1484.3324  1032.1852 34.3611 4.2045
-50000.00 1070.00 1484.2932  1032.2405 34.3643 4.1537
-50000.00 1080.00 1484.2540  1032.2958 34.3674 4.1028
-50000.00 1090.00 1484.2147  1032.3511 34.3705 4.0519
-50000.00 1100.00 1484.1755  1032.4064 34.3737 4.0010
-50000.00 1110.00 1484.1474  1032.4616 34.3772 3.9529
-50000.00 1120.00 1484.1353  1032.5166 34.3812 3.9087
-50000.00 1130.00 1484.1231  1032.5716 34.3853 3.8644
-50000.00 1140.00 1484.1110  1032.6267 34.3893 3.8202
-50000.00 1150.00 1484.0989  1032.6817 34.3933 3.7760
-50000.00 1160.00 1484.0868  1032.7367 34.3974 3.7317
-50000.00 1170.00 1484.0746  1032.7918 34.4014 3.6875
-50000.00 1180.00 1484.0625  1032.8468 34.4054 3.6433
-50000.00 1190.00 1484.0504  1032.9019 34.4094 3.5990
-50000.00 1200.00 1484.0383  1032.9569 34.4135 3.5548
-50000.00 1210.00 1484.0389  1033.0117 34.4177 3.5137
-50000.00 1220.00 1484.0555  1033.0661 34.4222 3.4764
-50000.00 1230.00 1484.0720  1033.1205 34.4267 3.4391
-50000.00 1240.00 1484.0885  1033.1750 34.4311 3.4017
-50000.00 1250.00 1484.1050  1033.2294 34.4356 3.3644
-50000.00 1260.00 1484.1215  1033.2839 34.4401 3.3271
-50000.00 1270.00 1484.1381  1033.3383 34.4445 3.2898
-50000.00 1280.00 1484.1546  1033.3928 34.4490 3.2525
-50000.00 1290.00 1484.1711  1033.4472 34.4535 3.2152
-50000.00 1300.00 1484.1876  1033.5016 34.4580 3.1779
-50000.00 1310.00 1484.2157  1033.5557 34.4624 3.1434
-50000.00 1320.00 1484.2628  1033.6091 34.4667 3.1134
-50000.00 1330.00 1484.3100  1033.6624 34.4711 3.0834
-50000.00 1340.00 1484.3571  1033.7158 34.4754 3.0535
-50000.00 1350.00 1484.4042  1033.7692 34.4798 3.0235
-50000.00 1360.00 1484.4513  1033.8226 34.4841 2.9935
-50000.00 1370.00 1484.4984  1033.8759 34.4884 2.9636
-50000.00 1380.00 1484.5455  1033.9293 34.4928 2.9336
-50000.00 1390.00 1484.5926  1033.9827 34.4971 2.9036
-50000.00 1400.00 1484.6397  1034.0361 34.5015 2.8737
-50000.00 1410.00 1484.6893  1034.0893 34.5058 2.8443
-50000.00 1420.00 1484.7668  1034.1412 34.5094 2.8217
-50000.00 1430.00 1484.8443  1034.1932 34.5131 2.7990
-50000.00 1440.00 1484.9218  1034.2451 34.5168 2.7763
-50000.00 1450.00 1484.9993  1034.2970 34.5205 2.7536
-50000.00 1460.00 1485.0768  1034.3489 34.5242 2.7310
-50000.00 1470.00 1485.1542  1034.4008 34.5279 2.7083
-50000.00 1480.00 1485.2317  1034.4527 34.5315 2.6856
-50000.00 1490.00 1485.3092  1034.5046 34.5352 2.6629
-50000.00 1500.00 1485.3867  1034.5565 34.5389 2.6403
-50000.00 1510.00 1485.4642  1034.6085 34.5426 2.6176
-50000.00 1520.00 1485.5492  1034.6599 34.5460 2.5967
-50000.00 1530.00 1485.6528  1034.7103 34.5488 2.5803
-50000.00 1540.00 1485.7564  1034.7606 34.5516 2.5639
-50000.00 1550.00 1485.8600  1034.8110 34.5544 2.5475
-50000.00 1560.00 1485.9636  1034.8614 34.5571 2.5311
