-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1510.5991  1025.0345 34.2350 16.5626
-50000.00 10.00 1510.6730  1025.0850 34.2335 16.5316
-50000.00 20.00 1510.5966  1025.1452 34.2300 16.4522
-50000.00 30.00 1510.1323  1025.2299 34.2211 16.2486
-50000.00 40.00 1509.1769  1025.3448 34.2061 15.8897
-50000.00 50.00 1507.8116  1025.4831 34.1864 15.4050
-50000.00 60.00 1506.2328  1025.6308 34.1644 14.8602
-50000.00 70.00 1504.6253  1025.7759 34.1422 14.3143
-50000.00 80.00 1503.1214  1025.9107 34.1205 13.8075
-50000.00 90.00 1501.7782  1026.0318 34.0988 13.3560
-50000.00 100.00 1500.6030  1026.1400 34.0770 12.9601
-50000.00 110.00 1499.6048  1026.2372 34.0571 12.6200
-50000.00 120.00 1498.7568  1026.3273 34.0408 12.3257
-50000.00 130.00 1497.9686  1026.4162 34.0285 12.0497
-50000.00 140.00 1497.1661  1026.5087 34.0206 11.7698
-50000.00 150.00 1496.3224  1026.6136 34.0263 11.4757
-50000.00 160.00 1495.4987  1026.7271 34.0447 11.1846
-50000.00 170.00 1494.6912  1026.8475 34.0734 10.8960
-50000.00 180.00 1493.9970  1026.9728 34.1163 10.6371
-50000.00 190.00 1493.3385  1027.0996 34.1637 10.3876
-50000.00 200.00 1492.7828  1027.2206 34.2111 10.1683
-50000.00 210.00 1492.3196  1027.3364 34.2585 9.9762
-50000.00 220.00 1491.8563  1027.4522 34.3060 9.7842
-50000.00 230.00 1491.4672  1027.5530 34.3407 9.6188
-50000.00 240.00 1491.1057  1027.6481 34.3706 9.4633
-50000.00 250.00 1490.7442  1027.7433 34.4006 9.3078
-50000.00 260.00 1490.3747  1027.8338 34.4248 9.1528
-50000.00 270.00 1489.9816  1027.9102 34.4320 8.9990
-50000.00 280.00 1489.5885  1027.9867 34.4393 8.8453
-50000.00 290.00 1489.1954  1028.0631 34.4465 8.6916
-50000.00 300.00 1488.8018  1028.1395 34.4536 8.5378
-50000.00 310.00 1488.3450  1028.2054 34.4466 8.3750
-50000.00 320.00 1487.8882  1028.2712 34.4396 8.2122
-50000.00 330.00 1487.4314  1028.3370 34.4327 8.0494
-50000.00 340.00 1486.9746  1028.4028 34.4257 7.8867
-50000.00 350.00 1486.5177  1028.4687 34.4187 7.7239
-50000.00 360.00 1486.1079  1028.5285 34.4085 7.5776
-50000.00 370.00 1485.7015  1028.5878 34.3981 7.4325
-50000.00 380.00 1485.2951  1028.6472 34.3877 7.2875
-50000.00 390.00 1484.8887  1028.7066 34.3773 7.1424
