-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1540.9560  1022.5127 35.0852 27.8378
-50000.00 10.00 1541.0949  1022.5617 35.0865 27.8226
-50000.00 20.00 1541.1827  1022.6212 35.0909 27.7826
-50000.00 30.00 1541.1267  1022.7105 35.1046 27.6726
-50000.00 40.00 1540.9059  1022.8301 35.1252 27.4848
-50000.00 50.00 1540.5855  1022.9629 35.1452 27.2538
-50000.00 60.00 1540.2299  1023.0974 35.1625 27.0101
-50000.00 70.00 1539.8494  1023.2333 35.1785 26.7577
-50000.00 80.00 1539.4076  1023.3771 35.1949 26.4803
-50000.00 90.00 1538.8478  1023.5359 35.2116 26.1538
-50000.00 100.00 1538.0985  1023.7166 35.2265 25.7504
-50000.00 110.00 1537.0889  1023.9223 35.2346 25.2452
-50000.00 120.00 1535.8038  1024.1472 35.2302 24.6393
-50000.00 130.00 1534.2989  1024.3806 35.2119 23.9611
-50000.00 140.00 1532.6558  1024.6137 35.1824 23.2445
-50000.00 150.00 1530.9651  1024.8321 35.1427 22.5338
-50000.00 160.00 1529.3116  1025.0370 35.1001 21.8511
-50000.00 170.00 1527.6881  1025.2309 35.0551 21.1911
-50000.00 180.00 1526.1484  1025.4059 35.0092 20.5801
-50000.00 190.00 1524.6351  1025.5748 34.9629 19.9845
-50000.00 200.00 1523.1839  1025.7322 34.9176 19.4228
-50000.00 210.00 1521.7884  1025.8790 34.8731 18.8914
-50000.00 220.00 1520.3930  1026.0259 34.8286 18.3600
-50000.00 230.00 1519.0638  1026.1602 34.7866 17.8668
-50000.00 240.00 1517.7594  1026.2899 34.7455 17.3876
-50000.00 250.00 1516.4549  1026.4196 34.7043 16.9085
-50000.00 260.00 1515.1617  1026.5461 34.6642 16.4384
-50000.00 270.00 1513.9018  1026.6637 34.6273 15.9948
-50000.00 280.00 1512.6419  1026.7812 34.5903 15.5512
-50000.00 290.00 1511.3820  1026.8987 34.5534 15.1076
-50000.00 300.00 1510.1224  1027.0161 34.5165 14.6642
-50000.00 310.00 1508.9095  1027.1237 34.4860 14.2555
-50000.00 320.00 1507.6966  1027.2313 34.4556 13.8468
-50000.00 330.00 1506.4837  1027.3389 34.4252 13.4380
-50000.00 340.00 1505.2708  1027.4465 34.3948 13.0293
-50000.00 350.00 1504.0579  1027.5541 34.3644 12.6206
-50000.00 360.00 1502.9490  1027.6527 34.3431 12.2590
-50000.00 370.00 1501.8476  1027.7506 34.3226 11.9008
-50000.00 380.00 1500.7463  1027.8485 34.3020 11.5427
-50000.00 390.00 1499.6450  1027.9464 34.2814 11.1845
-50000.00 400.00 1498.5437  1028.0443 34.2608 10.8264
-50000.00 410.00 1497.4438  1028.1422 34.2403 10.4687
-50000.00 420.00 1496.5471  1028.2304 34.2314 10.1808
-50000.00 430.00 1495.6504  1028.3187 34.2224 9.8929
-50000.00 440.00 1494.7537  1028.4070 34.2135 9.6049
-50000.00 450.00 1493.8570  1028.4953 34.2046 9.3170
-50000.00 460.00 1492.9603  1028.5836 34.1957 9.0291
-50000.00 470.00 1492.0636  1028.6719 34.1867 8.7412
-50000.00 480.00 1491.2385  1028.7579 34.1804 8.4743
-50000.00 490.00 1490.6252  1028.8369 34.1819 8.2694
-50000.00 500.00 1490.0118  1028.9159 34.1834 8.0646
-50000.00 510.00 1489.3985  1028.9949 34.1849 7.8597
-50000.00 520.00 1488.7851  1029.0739 34.1863 7.6549
-50000.00 530.00 1488.1718  1029.1529 34.1878 7.4500
-50000.00 540.00 1487.5584  1029.2319 34.1893 7.2451
-50000.00 550.00 1486.9451  1029.3109 34.1907 7.0403
-50000.00 560.00 1486.5403  1029.3839 34.1969 6.8914
-50000.00 570.00 1486.2132  1029.4547 34.2049 6.7634
-50000.00 580.00 1485.8861  1029.5254 34.2128 6.6354
-50000.00 590.00 1485.5589  1029.5962 34.2208 6.5074
-50000.00 600.00 1485.2318  1029.6670 34.2287 6.3794
-50000.00 610.00 1484.9046  1029.7378 34.2366 6.2514
-50000.00 620.00 1484.5775  1029.8085 34.2446 6.1234
-50000.00 630.00 1484.2503  1029.8793 34.2525 5.9953
-50000.00 640.00 1484.0272  1029.9467 34.2614 5.8942
-50000.00 650.00 1483.8976  1030.0110 34.2710 5.8172
-50000.00 660.00 1483.7680  1030.0753 34.2807 5.7403
-50000.00 670.00 1483.6384  1030.1397 34.2904 5.6633
-50000.00 680.00 1483.5089  1030.2040 34.3001 5.5863
-50000.00 690.00 1483.3793  1030.2683 34.3097 5.5094
-50000.00 700.00 1483.2497  1030.3326 34.3194 5.4324
-50000.00 710.00 1483.1201  1030.3970 34.3291 5.3554
-50000.00 720.00 1482.9905  1030.4613 34.3388 5.2785
-50000.00 730.00 1482.9305  1030.5220 34.3472 5.2197
-50000.00 740.00 1482.8924  1030.5816 34.3552 5.1666
-50000.00 750.00 1482.8543  1030.6411 34.3632 5.1136
-50000.00 760.00 1482.8162  1030.7007 34.3712 5.0605
-50000.00 770.00 1482.7781  1030.7602 34.3792 5.0075
-50000.00 780.00 1482.7400  1030.8198 34.3872 4.9545
-50000.00 790.00 1482.7019  1030.8794 34.3952 4.9014
-50000.00 800.00 1482.6638  1030.9389 34.4032 4.8484
-50000.00 810.00 1482.6257  1030.9985 34.4112 4.7953
-50000.00 820.00 1482.6082  1031.0561 34.4178 4.7480
-50000.00 830.00 1482.6074  1031.1121 34.4232 4.7053
-50000.00 840.00 1482.6065  1031.1682 34.4286 4.6626
-50000.00 850.00 1482.6057  1031.2242 34.4340 4.6199
-50000.00 860.00 1482.6048  1031.2803 34.4394 4.5772
-50000.00 870.00 1482.6040  1031.3363 34.4448 4.5346
-50000.00 880.00 1482.6031  1031.3923 34.4502 4.4919
-50000.00 890.00 1482.6023  1031.4484 34.4557 4.4492
-50000.00 900.00 1482.6014  1031.5044 34.4611 4.4065
-50000.00 910.00 1482.6012  1031.5604 34.4664 4.3639
-50000.00 920.00 1482.6218  1031.6141 34.4699 4.3273
-50000.00 930.00 1482.6424  1031.6677 34.4734 4.2907
-50000.00 940.00 1482.6630  1031.7214 34.4769 4.2541
-50000.00 950.00 1482.6836  1031.7750 34.4803 4.2175
-50000.00 960.00 1482.7042  1031.8287 34.4838 4.1809
-50000.00 970.00 1482.7248  1031.8824 34.4873 4.1443
-50000.00 980.00 1482.7453  1031.9360 34.4908 4.1077
-50000.00 990.00 1482.7659  1031.9897 34.4942 4.0711
-50000.00 1000.00 1482.7865  1032.0433 34.4977 4.0345
-50000.00 1010.00 1482.8116  1032.0966 34.5009 3.9991
-50000.00 1020.00 1482.8479  1032.1488 34.5033 3.9668
