-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1536.3136  1023.9387 35.9353 25.3636
-50000.00 10.00 1536.4074  1023.9920 35.9353 25.3310
-50000.00 20.00 1536.3137  1024.0721 35.9379 25.2180
-50000.00 30.00 1535.9316  1024.1914 35.9431 24.9829
-50000.00 40.00 1535.4268  1024.3230 35.9455 24.6995
-50000.00 50.00 1534.8935  1024.4524 35.9431 24.4091
-50000.00 60.00 1534.3520  1024.5779 35.9367 24.1197
-50000.00 70.00 1533.8207  1024.6980 35.9271 23.8384
-50000.00 80.00 1533.3252  1024.8105 35.9152 23.5749
-50000.00 90.00 1532.8727  1024.9155 35.9018 23.3314
-50000.00 100.00 1532.4373  1025.0157 35.8863 23.0974
-50000.00 110.00 1531.9825  1025.1150 35.8683 22.8585
-50000.00 120.00 1531.4777  1025.2162 35.8471 22.6034
-50000.00 130.00 1530.8980  1025.3209 35.8218 22.3229
-50000.00 140.00 1530.2373  1025.4300 35.7925 22.0151
-50000.00 150.00 1529.5042  1025.5420 35.7602 21.6849
-50000.00 160.00 1528.7835  1025.6522 35.7290 21.3616
-50000.00 170.00 1528.0727  1025.7609 35.6987 21.0439
-50000.00 180.00 1527.4003  1025.8652 35.6703 20.7439
-50000.00 190.00 1526.7399  1025.9680 35.6425 20.4493
-50000.00 200.00 1526.0724  1026.0696 35.6145 20.1556
-50000.00 210.00 1525.3987  1026.1700 35.5863 19.8626
-50000.00 220.00 1524.7249  1026.2703 35.5581 19.5697
-50000.00 230.00 1523.9678  1026.3725 35.5269 19.2546
-50000.00 240.00 1523.1797  1026.4754 35.4945 18.9312
-50000.00 250.00 1522.3915  1026.5783 35.4622 18.6078
-50000.00 260.00 1521.5432  1026.6828 35.4279 18.2681
-50000.00 270.00 1520.5174  1026.7922 35.3879 17.8800
-50000.00 280.00 1519.4916  1026.9015 35.3479 17.4919
-50000.00 290.00 1518.4657  1027.0109 35.3079 17.1037
-50000.00 300.00 1517.4380  1027.1202 35.2678 16.7152
-50000.00 310.00 1516.1402  1027.2326 35.2211 16.2633
-50000.00 320.00 1514.8425  1027.3450 35.1743 15.8114
-50000.00 330.00 1513.5447  1027.4574 35.1276 15.3595
-50000.00 340.00 1512.2469  1027.5698 35.0808 14.9077
-50000.00 350.00 1510.9492  1027.6822 35.0341 14.4558
-50000.00 360.00 1509.5770  1027.7861 34.9892 14.0082
-50000.00 370.00 1508.1994  1027.8893 34.9446 13.5608
-50000.00 380.00 1506.8217  1027.9925 34.8999 13.1135
-50000.00 390.00 1505.4441  1028.0957 34.8552 12.6662
