KNSTM      STLA       STLO       STDP       ELVE      
N0001      1.6925     -146.9619  1500.0     -4423.11  
N0002      -2.0229    -155.0047  1500.0     -4523.16  
N0004      -17.5971   -118.6680  1500.0     -3584.24  
N0005      -21.6720   -104.6693  1500.0     -3940.87  
P0012      -13.5255   -159.4400  1900.0     -5017.46  
P0016      -11.8099   -144.3108  500.0      -4585.19  
P0017      -11.9361   -140.5964  1000.0     -4123.48  
P0018      -13.2931   -136.4242  1250.0     -4093.16  
P0019      -14.1574   -125.2409  500.0      -3703.75  
P0021      -21.6048   -129.1845  1000.0     -3898.28  
P0022      -23.3556   -140.7225  1250.0     -4422.48  
P0023      -27.9773   -156.3948  1500.0     -5056.79  
P0025      -23.0533   -136.0411  1500.0     -4026.21  
P0026      -11.6316   -147.2235  1500.0     -4756.25  
P0027      -8.2461    -150.3236  1500.0     -5092.24  
P0028      -8.7863    -150.0847  1500.0     -4928.50  
P0032      -6.0467    -159.5611  1500.0     -5027.88  
P0033      -6.5989    -127.2086  1500.0     -4460.35  
P0035      -16.4397   -141.5177  1500.0     -2583.77  
P0036      -22.2351   -142.4645  1500.0     -4497.45  
P0038      -28.8494   -150.9575  1500.0     -4717.10  
P0040      -29.2320   -154.0426  1500.0     -5260.60  
P0041      -27.3821   -161.7527  1500.0     -5336.59  
P0042      -29.8476   -170.1407  1500.0     -5324.08  
P0045      -25.2954   -165.8461  1500.0     -5578.98  
P0048      -29.4209   173.4884   1000.0     -3027.78  
P0049      -30.5531   178.6694   1500.0     -3589.72  
P0052      -25.5657   -149.1595  1500.0     -4599.93  
P0053      -29.9721   -157.8777  1500.0     -5190.49  
P0054      -28.4927   -171.9934  1500.0     -5382.72  
R0073      20.0379    118.7181   1500.0     -2956.95  
H03N1      -33.4580   -78.9341   812.0      -3525.21  
H03N2      -33.4467   -78.9497   823.0      -3635.10  
H03N3      -33.4416   -78.9291   836.0      -3604.39  
H03S1      -33.8182   -78.8353   837.0      -806.96   
H03S2      -33.8338   -78.8462   816.0      -944.38   
H03S3      -33.8182   -78.8569   836.0      -815.89   
H11N1      19.7136    166.8911   731.0      -2912.33  
H11N2      19.7312    166.8968   721.0      -3256.82  
H11N3      19.7179    166.9099   729.0      -2824.98  
H11S1      18.5083    166.7003   750.0      -3879.68  
H11S2      18.4905    166.7054   742.0      -3753.14  
H11S3      18.4949    166.6873   726.0      -3793.28  
