-50000.00 0.00 55559.75 3830.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 384                           #nx nz
-50000.00 0.00 1540.9501  1022.5142 35.0859 27.8348
-50000.00 10.00 1541.0890  1022.5633 35.0872 27.8196
-50000.00 20.00 1541.1766  1022.6228 35.0916 27.7795
-50000.00 30.00 1541.1201  1022.7121 35.1053 27.6692
-50000.00 40.00 1540.8985  1022.8318 35.1259 27.4811
-50000.00 50.00 1540.5774  1022.9647 35.1459 27.2498
-50000.00 60.00 1540.2211  1023.0993 35.1632 27.0058
-50000.00 70.00 1539.8401  1023.2353 35.1792 26.7533
-50000.00 80.00 1539.3978  1023.3791 35.1956 26.4756
-50000.00 90.00 1538.8373  1023.5379 35.2122 26.1490
-50000.00 100.00 1538.0871  1023.7186 35.2270 25.7452
-50000.00 110.00 1537.0766  1023.9243 35.2350 25.2398
-50000.00 120.00 1535.7910  1024.1491 35.2305 24.6339
-50000.00 130.00 1534.2862  1024.3822 35.2121 23.9559
-50000.00 140.00 1532.6437  1024.6152 35.1825 23.2396
-50000.00 150.00 1530.9540  1024.8333 35.1427 22.5295
-50000.00 160.00 1529.3016  1025.0380 35.1000 21.8473
-50000.00 170.00 1527.6792  1025.2318 35.0550 21.1878
-50000.00 180.00 1526.1403  1025.4066 35.0091 20.5771
-50000.00 190.00 1524.6277  1025.5755 34.9628 19.9819
-50000.00 200.00 1523.1769  1025.7327 34.9175 19.4203
-50000.00 210.00 1521.7817  1025.8795 34.8730 18.8891
-50000.00 220.00 1520.3865  1026.0263 34.8285 18.3578
-50000.00 230.00 1519.0574  1026.1606 34.7865 17.8646
-50000.00 240.00 1517.7530  1026.2903 34.7453 17.3856
-50000.00 250.00 1516.4486  1026.4199 34.7042 16.9065
-50000.00 260.00 1515.1555  1026.5465 34.6641 16.4364
-50000.00 270.00 1513.8957  1026.6640 34.6271 15.9929
-50000.00 280.00 1512.6360  1026.7815 34.5902 15.5494
-50000.00 290.00 1511.3763  1026.8990 34.5532 15.1058
-50000.00 300.00 1510.1169  1027.0164 34.5163 14.6626
-50000.00 310.00 1508.9046  1027.1239 34.4859 14.2540
-50000.00 320.00 1507.6923  1027.2315 34.4555 13.8455
-50000.00 330.00 1506.4800  1027.3391 34.4251 13.4369
-50000.00 340.00 1505.2677  1027.4466 34.3947 13.0284
-50000.00 350.00 1504.0554  1027.5542 34.3643 12.6199
-50000.00 360.00 1502.9470  1027.6527 34.3431 12.2584
-50000.00 370.00 1501.8463  1027.7506 34.3225 11.9005
-50000.00 380.00 1500.7455  1027.8485 34.3019 11.5425
-50000.00 390.00 1499.6448  1027.9464 34.2813 11.1845
-50000.00 400.00 1498.5440  1028.0442 34.2607 10.8265
-50000.00 410.00 1497.4447  1028.1421 34.2403 10.4690
-50000.00 420.00 1496.5482  1028.2303 34.2313 10.1811
-50000.00 430.00 1495.6517  1028.3186 34.2224 9.8933
-50000.00 440.00 1494.7551  1028.4069 34.2135 9.6054
-50000.00 450.00 1493.8586  1028.4952 34.2045 9.3175
-50000.00 460.00 1492.9621  1028.5835 34.1956 9.0296
-50000.00 470.00 1492.0655  1028.6717 34.1866 8.7417
-50000.00 480.00 1491.2406  1028.7577 34.1803 8.4749
-50000.00 490.00 1490.6269  1028.8367 34.1818 8.2699
-50000.00 500.00 1490.0133  1028.9157 34.1833 8.0650
-50000.00 510.00 1489.3996  1028.9947 34.1847 7.8601
-50000.00 520.00 1488.7860  1029.0737 34.1862 7.6551
-50000.00 530.00 1488.1724  1029.1527 34.1876 7.4502
-50000.00 540.00 1487.5587  1029.2317 34.1891 7.2453
-50000.00 550.00 1486.9451  1029.3107 34.1906 7.0404
-50000.00 560.00 1486.5400  1029.3837 34.1967 6.8914
-50000.00 570.00 1486.2124  1029.4545 34.2047 6.7633
-50000.00 580.00 1485.8849  1029.5253 34.2126 6.6352
-50000.00 590.00 1485.5573  1029.5961 34.2205 6.5071
-50000.00 600.00 1485.2297  1029.6669 34.2285 6.3790
-50000.00 610.00 1484.9022  1029.7376 34.2364 6.2509
-50000.00 620.00 1484.5746  1029.8084 34.2443 6.1227
-50000.00 630.00 1484.2470  1029.8792 34.2522 5.9946
-50000.00 640.00 1484.0236  1029.9466 34.2611 5.8934
-50000.00 650.00 1483.8938  1030.0109 34.2708 5.8164
-50000.00 660.00 1483.7640  1030.0752 34.2804 5.7394
-50000.00 670.00 1483.6343  1030.1396 34.2901 5.6624
-50000.00 680.00 1483.5045  1030.2039 34.2998 5.5853
-50000.00 690.00 1483.3747  1030.2682 34.3095 5.5083
-50000.00 700.00 1483.2449  1030.3326 34.3191 5.4313
-50000.00 710.00 1483.1151  1030.3969 34.3288 5.3543
-50000.00 720.00 1482.9853  1030.4612 34.3385 5.2773
-50000.00 730.00 1482.9253  1030.5219 34.3469 5.2185
-50000.00 740.00 1482.8873  1030.5815 34.3549 5.1655
-50000.00 750.00 1482.8493  1030.6411 34.3629 5.1124
-50000.00 760.00 1482.8112  1030.7006 34.3709 5.0594
-50000.00 770.00 1482.7732  1030.7602 34.3789 5.0064
-50000.00 780.00 1482.7352  1030.8197 34.3869 4.9534
-50000.00 790.00 1482.6972  1030.8793 34.3949 4.9003
-50000.00 800.00 1482.6591  1030.9389 34.4030 4.8473
-50000.00 810.00 1482.6211  1030.9984 34.4110 4.7943
-50000.00 820.00 1482.6038  1031.0560 34.4175 4.7470
-50000.00 830.00 1482.6031  1031.1121 34.4230 4.7043
-50000.00 840.00 1482.6024  1031.1681 34.4284 4.6617
-50000.00 850.00 1482.6017  1031.2242 34.4338 4.6190
-50000.00 860.00 1482.6011  1031.2802 34.4392 4.5764
-50000.00 870.00 1482.6004  1031.3363 34.4446 4.5337
-50000.00 880.00 1482.5997  1031.3923 34.4501 4.4911
-50000.00 890.00 1482.5990  1031.4483 34.4555 4.4484
-50000.00 900.00 1482.5984  1031.5044 34.4609 4.4058
-50000.00 910.00 1482.5983  1031.5604 34.4663 4.3633
-50000.00 920.00 1482.6190  1031.6140 34.4698 4.3267
-50000.00 930.00 1482.6397  1031.6677 34.4732 4.2902
-50000.00 940.00 1482.6605  1031.7214 34.4767 4.2536
-50000.00 950.00 1482.6812  1031.7750 34.4802 4.2170
-50000.00 960.00 1482.7020  1031.8287 34.4837 4.1804
-50000.00 970.00 1482.7227  1031.8823 34.4872 4.1439
-50000.00 980.00 1482.7435  1031.9360 34.4907 4.1073
-50000.00 990.00 1482.7642  1031.9896 34.4941 4.0707
-50000.00 1000.00 1482.7849  1032.0433 34.4976 4.0342
-50000.00 1010.00 1482.8102  1032.0965 34.5008 3.9988
-50000.00 1020.00 1482.8466  1032.1487 34.5032 3.9665
-50000.00 1030.00 1482.8830  1032.2009 34.5056 3.9343
-50000.00 1040.00 1482.9194  1032.2531 34.5080 3.9020
-50000.00 1050.00 1482.9558  1032.3053 34.5103 3.8697
-50000.00 1060.00 1482.9922  1032.3575 34.5127 3.8375
-50000.00 1070.00 1483.0287  1032.4097 34.5151 3.8052
-50000.00 1080.00 1483.0651  1032.4619 34.5175 3.7729
-50000.00 1090.00 1483.1015  1032.5140 34.5199 3.7407
-50000.00 1100.00 1483.1379  1032.5662 34.5223 3.7084
-50000.00 1110.00 1483.1791  1032.6180 34.5244 3.6774
-50000.00 1120.00 1483.2272  1032.6693 34.5262 3.6482
-50000.00 1130.00 1483.2753  1032.7206 34.5280 3.6191
-50000.00 1140.00 1483.3234  1032.7719 34.5297 3.5899
-50000.00 1150.00 1483.3715  1032.8231 34.5315 3.5608
-50000.00 1160.00 1483.4196  1032.8744 34.5333 3.5316
-50000.00 1170.00 1483.4677  1032.9257 34.5351 3.5024
-50000.00 1180.00 1483.5158  1032.9769 34.5368 3.4733
-50000.00 1190.00 1483.5639  1033.0282 34.5386 3.4441
-50000.00 1200.00 1483.6120  1033.0795 34.5404 3.4150
-50000.00 1210.00 1483.6639  1033.1305 34.5420 3.3868
-50000.00 1220.00 1483.7207  1033.1812 34.5434 3.3599
-50000.00 1230.00 1483.7774  1033.2318 34.5449 3.3330
-50000.00 1240.00 1483.8341  1033.2825 34.5463 3.3061
-50000.00 1250.00 1483.8909  1033.3332 34.5477 3.2792
-50000.00 1260.00 1483.9476  1033.3838 34.5491 3.2523
-50000.00 1270.00 1484.0044  1033.4345 34.5505 3.2254
-50000.00 1280.00 1484.0611  1033.4852 34.5520 3.1985
-50000.00 1290.00 1484.1178  1033.5359 34.5534 3.1716
-50000.00 1300.00 1484.1746  1033.5865 34.5548 3.1447
-50000.00 1310.00 1484.2344  1033.6370 34.5562 3.1185
-50000.00 1320.00 1484.2992  1033.6873 34.5574 3.0937
-50000.00 1330.00 1484.3641  1033.7375 34.5586 3.0688
-50000.00 1340.00 1484.4289  1033.7877 34.5598 3.0439
-50000.00 1350.00 1484.4938  1033.8380 34.5611 3.0190
-50000.00 1360.00 1484.5586  1033.8882 34.5623 2.9942
-50000.00 1370.00 1484.6235  1033.9385 34.5635 2.9693
-50000.00 1380.00 1484.6883  1033.9887 34.5648 2.9444
-50000.00 1390.00 1484.7532  1034.0389 34.5660 2.9196
-50000.00 1400.00 1484.8180  1034.0892 34.5672 2.8947
-50000.00 1410.00 1484.8838  1034.1394 34.5684 2.8700
-50000.00 1420.00 1484.9597  1034.1891 34.5695 2.8478
-50000.00 1430.00 1485.0355  1034.2389 34.5706 2.8256
-50000.00 1440.00 1485.1114  1034.2887 34.5717 2.8033
-50000.00 1450.00 1485.1873  1034.3385 34.5729 2.7811
-50000.00 1460.00 1485.2632  1034.3882 34.5740 2.7589
-50000.00 1470.00 1485.3390  1034.4380 34.5751 2.7366
-50000.00 1480.00 1485.4149  1034.4878 34.5762 2.7144
-50000.00 1490.00 1485.4908  1034.5375 34.5773 2.6922
-50000.00 1500.00 1485.5666  1034.5873 34.5784 2.6699
-50000.00 1510.00 1485.6425  1034.6371 34.5795 2.6477
-50000.00 1520.00 1485.7226  1034.6867 34.5806 2.6265
-50000.00 1530.00 1485.8131  1034.7359 34.5816 2.6076
-50000.00 1540.00 1485.9036  1034.7852 34.5826 2.5888
-50000.00 1550.00 1485.9941  1034.8344 34.5836 2.5700
-50000.00 1560.00 1486.0845  1034.8836 34.5846 2.5511
-50000.00 1570.00 1486.1750  1034.9329 34.5856 2.5323
-50000.00 1580.00 1486.2655  1034.9821 34.5867 2.5135
-50000.00 1590.00 1486.3560  1035.0313 34.5877 2.4946
-50000.00 1600.00 1486.4465  1035.0806 34.5887 2.4758
-50000.00 1610.00 1486.5370  1035.1298 34.5897 2.4569
-50000.00 1620.00 1486.6274  1035.1790 34.5907 2.4381
-50000.00 1630.00 1486.7179  1035.2283 34.5917 2.4193
-50000.00 1640.00 1486.8176  1035.2772 34.5927 2.4025
-50000.00 1650.00 1486.9239  1035.3259 34.5936 2.3873
-50000.00 1660.00 1487.0302  1035.3745 34.5945 2.3721
-50000.00 1670.00 1487.1364  1035.4232 34.5954 2.3568
-50000.00 1680.00 1487.2427  1035.4719 34.5963 2.3416
-50000.00 1690.00 1487.3490  1035.5205 34.5973 2.3264
-50000.00 1700.00 1487.4553  1035.5692 34.5982 2.3111
-50000.00 1710.00 1487.5615  1035.6179 34.5991 2.2959
-50000.00 1720.00 1487.6678  1035.6666 34.6000 2.2806
-50000.00 1730.00 1487.7741  1035.7152 34.6009 2.2654
-50000.00 1740.00 1487.8804  1035.7639 34.6019 2.2502
-50000.00 1750.00 1487.9867  1035.8126 34.6028 2.2349
-50000.00 1760.00 1488.0929  1035.8613 34.6037 2.2197
-50000.00 1770.00 1488.2061  1035.9097 34.6046 2.2060
-50000.00 1780.00 1488.3267  1035.9578 34.6054 2.1940
-50000.00 1790.00 1488.4472  1036.0059 34.6062 2.1819
-50000.00 1800.00 1488.5678  1036.0540 34.6070 2.1699
-50000.00 1810.00 1488.6883  1036.1022 34.6078 2.1579
-50000.00 1820.00 1488.8088  1036.1503 34.6086 2.1458
-50000.00 1830.00 1488.9294  1036.1984 34.6094 2.1338
-50000.00 1840.00 1489.0499  1036.2466 34.6102 2.1217
-50000.00 1850.00 1489.1704  1036.2947 34.6110 2.1097
-50000.00 1860.00 1489.2910  1036.3428 34.6119 2.0976
-50000.00 1870.00 1489.4115  1036.3909 34.6127 2.0856
-50000.00 1880.00 1489.5320  1036.4391 34.6135 2.0736
-50000.00 1890.00 1489.6526  1036.4872 34.6143 2.0615
-50000.00 1900.00 1489.7731  1036.5353 34.6151 2.0495
-50000.00 1910.00 1489.8936  1036.5835 34.6159 2.0374
-50000.00 1920.00 1490.0209  1036.6313 34.6167 2.0269
-50000.00 1930.00 1490.1530  1036.6789 34.6173 2.0174
