-50000.00 0.00 55559.75 4480.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 449                           #nx nz
-50000.00 0.00 1541.0190  1022.7403 35.3421 27.7322
-50000.00 10.00 1541.1359  1022.7912 35.3419 27.7079
-50000.00 20.00 1541.2576  1022.8418 35.3422 27.6855
-50000.00 30.00 1541.3841  1022.8929 35.3438 27.6647
-50000.00 40.00 1541.5045  1022.9465 35.3471 27.6402
-50000.00 50.00 1541.6018  1023.0058 35.3530 27.6039
-50000.00 60.00 1541.6478  1023.0771 35.3637 27.5419
-50000.00 70.00 1541.6076  1023.1668 35.3808 27.4379
-50000.00 80.00 1541.4370  1023.2809 35.4041 27.2726
-50000.00 90.00 1541.0580  1023.4313 35.4350 27.0115
-50000.00 100.00 1540.3037  1023.6409 35.4746 26.5833
-50000.00 110.00 1538.8682  1023.9423 35.5179 25.8661
-50000.00 120.00 1536.3820  1024.3588 35.5510 24.7325
-50000.00 130.00 1532.7204  1024.8684 35.5562 23.1780
-50000.00 140.00 1528.1267  1025.4155 35.5243 21.3375
-50000.00 150.00 1523.3992  1025.8708 35.4508 19.5885
-50000.00 160.00 1519.1695  1026.2438 35.3723 18.0756
-50000.00 170.00 1515.3423  1026.5502 35.2898 16.7536
-50000.00 180.00 1512.4256  1026.7681 35.2188 15.7761
-50000.00 190.00 1509.7964  1026.9581 35.1514 14.9074
-50000.00 200.00 1507.7027  1027.1119 35.0957 14.2185
-50000.00 210.00 1506.0905  1027.2332 35.0504 13.6912
-50000.00 220.00 1504.4783  1027.3545 35.0052 13.1640
-50000.00 230.00 1503.3492  1027.4509 34.9726 12.7878
-50000.00 240.00 1502.3998  1027.5382 34.9447 12.4677
-50000.00 250.00 1501.4504  1027.6254 34.9168 12.1477
-50000.00 260.00 1500.5906  1027.7088 34.8914 11.8546
-50000.00 270.00 1499.9955  1027.7808 34.8738 11.6412
-50000.00 280.00 1499.4003  1027.8528 34.8561 11.4278
-50000.00 290.00 1498.8052  1027.9248 34.8384 11.2144
-50000.00 300.00 1498.2111  1027.9968 34.8208 11.0013
-50000.00 310.00 1497.7700  1028.0627 34.8083 10.8342
-50000.00 320.00 1497.3288  1028.1287 34.7957 10.6672
-50000.00 330.00 1496.8877  1028.1947 34.7832 10.5001
-50000.00 340.00 1496.4466  1028.2606 34.7706 10.3330
-50000.00 350.00 1496.0055  1028.3266 34.7581 10.1660
-50000.00 360.00 1495.6229  1028.3903 34.7481 10.0176
-50000.00 370.00 1495.2445  1028.4538 34.7384 9.8705
-50000.00 380.00 1494.8661  1028.5172 34.7286 9.7235
-50000.00 390.00 1494.4878  1028.5807 34.7188 9.5764
-50000.00 400.00 1494.1094  1028.6442 34.7090 9.4294
-50000.00 410.00 1493.7313  1028.7077 34.6993 9.2824
-50000.00 420.00 1493.3987  1028.7693 34.6917 9.1502
-50000.00 430.00 1493.0660  1028.8310 34.6841 9.0181
-50000.00 440.00 1492.7333  1028.8927 34.6765 8.8859
-50000.00 450.00 1492.4006  1028.9543 34.6689 8.7537
-50000.00 460.00 1492.0679  1029.0160 34.6613 8.6216
-50000.00 470.00 1491.7352  1029.0776 34.6537 8.4894
-50000.00 480.00 1491.4170  1029.1388 34.6466 8.3616
-50000.00 490.00 1491.1415  1029.1984 34.6410 8.2467
-50000.00 500.00 1490.8661  1029.2580 34.6355 8.1319
-50000.00 510.00 1490.5906  1029.3177 34.6300 8.0170
-50000.00 520.00 1490.3151  1029.3773 34.6245 7.9022
-50000.00 530.00 1490.0397  1029.4369 34.6189 7.7873
-50000.00 540.00 1489.7642  1029.4966 34.6134 7.6725
-50000.00 550.00 1489.4887  1029.5562 34.6079 7.5576
-50000.00 560.00 1489.2597  1029.6143 34.6037 7.4560
-50000.00 570.00 1489.0480  1029.6720 34.6000 7.3594
-50000.00 580.00 1488.8363  1029.7296 34.5963 7.2627
-50000.00 590.00 1488.6246  1029.7872 34.5927 7.1661
-50000.00 600.00 1488.4128  1029.8448 34.5890 7.0694
-50000.00 610.00 1488.2011  1029.9024 34.5853 6.9728
-50000.00 620.00 1487.9894  1029.9601 34.5817 6.8761
-50000.00 630.00 1487.7777  1030.0177 34.5780 6.7795
-50000.00 640.00 1487.5973  1030.0744 34.5751 6.6914
-50000.00 650.00 1487.4451  1030.1303 34.5729 6.6111
-50000.00 660.00 1487.2929  1030.1862 34.5708 6.5308
-50000.00 670.00 1487.1408  1030.2422 34.5686 6.4505
-50000.00 680.00 1486.9886  1030.2981 34.5665 6.3703
-50000.00 690.00 1486.8364  1030.3540 34.5643 6.2900
-50000.00 700.00 1486.6842  1030.4099 34.5621 6.2097
-50000.00 710.00 1486.5320  1030.4658 34.5600 6.1294
-50000.00 720.00 1486.3799  1030.5217 34.5578 6.0491
-50000.00 730.00 1486.2668  1030.5766 34.5565 5.9792
-50000.00 740.00 1486.1660  1030.6312 34.5555 5.9126
-50000.00 750.00 1486.0653  1030.6857 34.5545 5.8460
-50000.00 760.00 1485.9645  1030.7403 34.5535 5.7794
-50000.00 770.00 1485.8638  1030.7949 34.5525 5.7128
-50000.00 780.00 1485.7630  1030.8494 34.5515 5.6463
-50000.00 790.00 1485.6623  1030.9040 34.5505 5.5797
-50000.00 800.00 1485.5615  1030.9585 34.5495 5.5131
-50000.00 810.00 1485.4608  1031.0131 34.5485 5.4465
-50000.00 820.00 1485.3835  1031.0671 34.5480 5.3860
-50000.00 830.00 1485.3251  1031.1205 34.5478 5.3304
-50000.00 840.00 1485.2667  1031.1740 34.5477 5.2749
-50000.00 850.00 1485.2084  1031.2275 34.5475 5.2193
-50000.00 860.00 1485.1500  1031.2810 34.5474 5.1637
-50000.00 870.00 1485.0916  1031.3345 34.5472 5.1082
-50000.00 880.00 1485.0333  1031.3880 34.5470 5.0526
-50000.00 890.00 1484.9749  1031.4415 34.5469 4.9970
-50000.00 900.00 1484.9166  1031.4950 34.5467 4.9415
-50000.00 910.00 1484.8591  1031.5484 34.5466 4.8861
-50000.00 920.00 1484.8346  1031.6011 34.5470 4.8392
-50000.00 930.00 1484.8100  1031.6537 34.5474 4.7923
-50000.00 940.00 1484.7855  1031.7064 34.5478 4.7453
-50000.00 950.00 1484.7610  1031.7590 34.5482 4.6984
-50000.00 960.00 1484.7365  1031.8117 34.5486 4.6515
-50000.00 970.00 1484.7120  1031.8643 34.5491 4.6045
-50000.00 980.00 1484.6874  1031.9170 34.5495 4.5576
-50000.00 990.00 1484.6629  1031.9696 34.5499 4.5107
-50000.00 1000.00 1484.6384  1032.0223 34.5503 4.4637
-50000.00 1010.00 1484.6215  1032.0747 34.5508 4.4187
-50000.00 1020.00 1484.6237  1032.1267 34.5516 4.3785
-50000.00 1030.00 1484.6260  1032.1787 34.5524 4.3383
-50000.00 1040.00 1484.6283  1032.2307 34.5532 4.2981
-50000.00 1050.00 1484.6305  1032.2826 34.5540 4.2579
-50000.00 1060.00 1484.6328  1032.3346 34.5548 4.2177
-50000.00 1070.00 1484.6350  1032.3866 34.5555 4.1774
-50000.00 1080.00 1484.6373  1032.4386 34.5563 4.1372
-50000.00 1090.00 1484.6395  1032.4905 34.5571 4.0970
-50000.00 1100.00 1484.6418  1032.5425 34.5579 4.0568
-50000.00 1110.00 1484.6527  1032.5943 34.5588 4.0187
-50000.00 1120.00 1484.6761  1032.6457 34.5598 3.9838
-50000.00 1130.00 1484.6995  1032.6971 34.5608 3.9488
-50000.00 1140.00 1484.7228  1032.7485 34.5618 3.9138
-50000.00 1150.00 1484.7462  1032.8000 34.5628 3.8788
-50000.00 1160.00 1484.7696  1032.8514 34.5639 3.8438
-50000.00 1170.00 1484.7930  1032.9028 34.5649 3.8089
-50000.00 1180.00 1484.8163  1032.9542 34.5659 3.7739
-50000.00 1190.00 1484.8397  1033.0057 34.5669 3.7389
-50000.00 1200.00 1484.8631  1033.0571 34.5679 3.7039
-50000.00 1210.00 1484.8941  1033.1083 34.5690 3.6708
-50000.00 1220.00 1484.9344  1033.1592 34.5701 3.6400
-50000.00 1230.00 1484.9748  1033.2102 34.5712 3.6092
-50000.00 1240.00 1485.0152  1033.2611 34.5724 3.5784
-50000.00 1250.00 1485.0556  1033.3120 34.5735 3.5475
-50000.00 1260.00 1485.0960  1033.3630 34.5746 3.5167
-50000.00 1270.00 1485.1363  1033.4139 34.5758 3.4859
-50000.00 1280.00 1485.1767  1033.4649 34.5769 3.4551
-50000.00 1290.00 1485.2171  1033.5158 34.5780 3.4243
-50000.00 1300.00 1485.2575  1033.5667 34.5792 3.3935
-50000.00 1310.00 1485.3035  1033.6175 34.5803 3.3640
-50000.00 1320.00 1485.3587  1033.6680 34.5815 3.3368
-50000.00 1330.00 1485.4139  1033.7185 34.5826 3.3096
-50000.00 1340.00 1485.4691  1033.7689 34.5838 3.2823
-50000.00 1350.00 1485.5243  1033.8194 34.5850 3.2551
-50000.00 1360.00 1485.5796  1033.8699 34.5861 3.2279
-50000.00 1370.00 1485.6348  1033.9204 34.5873 3.2007
-50000.00 1380.00 1485.6900  1033.9708 34.5885 3.1734
-50000.00 1390.00 1485.7452  1034.0213 34.5896 3.1462
-50000.00 1400.00 1485.8004  1034.0718 34.5908 3.1190
-50000.00 1410.00 1485.8568  1034.1222 34.5920 3.0920
-50000.00 1420.00 1485.9265  1034.1722 34.5931 3.0683
-50000.00 1430.00 1485.9962  1034.2221 34.5942 3.0445
-50000.00 1440.00 1486.0658  1034.2721 34.5953 3.0207
-50000.00 1450.00 1486.1355  1034.3221 34.5964 2.9969
-50000.00 1460.00 1486.2052  1034.3720 34.5976 2.9732
-50000.00 1470.00 1486.2748  1034.4220 34.5987 2.9494
-50000.00 1480.00 1486.3445  1034.4720 34.5998 2.9256
-50000.00 1490.00 1486.4141  1034.5219 34.6009 2.9018
-50000.00 1500.00 1486.4838  1034.5719 34.6020 2.8781
-50000.00 1510.00 1486.5535  1034.6218 34.6032 2.8543
-50000.00 1520.00 1486.6275  1034.6716 34.6042 2.8315
-50000.00 1530.00 1486.7121  1034.7210 34.6053 2.8113
-50000.00 1540.00 1486.7967  1034.7704 34.6063 2.7910
-50000.00 1550.00 1486.8813  1034.8198 34.6073 2.7708
-50000.00 1560.00 1486.9659  1034.8692 34.6083 2.7505
-50000.00 1570.00 1487.0505  1034.9185 34.6093 2.7302
-50000.00 1580.00 1487.1351  1034.9679 34.6103 2.7100
-50000.00 1590.00 1487.2197  1035.0173 34.6113 2.6897
-50000.00 1600.00 1487.3043  1035.0667 34.6123 2.6695
-50000.00 1610.00 1487.3889  1035.1161 34.6133 2.6492
-50000.00 1620.00 1487.4735  1035.1654 34.6143 2.6289
-50000.00 1630.00 1487.5581  1035.2148 34.6153 2.6087
-50000.00 1640.00 1487.6515  1035.2639 34.6162 2.5905
-50000.00 1650.00 1487.7511  1035.3126 34.6171 2.5737
-50000.00 1660.00 1487.8508  1035.3614 34.6180 2.5569
-50000.00 1670.00 1487.9504  1035.4102 34.6188 2.5401
-50000.00 1680.00 1488.0501  1035.4590 34.6197 2.5233
-50000.00 1690.00 1488.1497  1035.5078 34.6205 2.5066
-50000.00 1700.00 1488.2494  1035.5566 34.6214 2.4898
-50000.00 1710.00 1488.3490  1035.6053 34.6222 2.4730
-50000.00 1720.00 1488.4487  1035.6541 34.6231 2.4562
-50000.00 1730.00 1488.5483  1035.7029 34.6240 2.4394
-50000.00 1740.00 1488.6480  1035.7517 34.6248 2.4227
-50000.00 1750.00 1488.7476  1035.8005 34.6257 2.4059
-50000.00 1760.00 1488.8472  1035.8493 34.6265 2.3891
-50000.00 1770.00 1488.9537  1035.8978 34.6273 2.3739
-50000.00 1780.00 1489.0673  1035.9460 34.6280 2.3603
-50000.00 1790.00 1489.1810  1035.9942 34.6287 2.3467
