-50000.00 0.00 55559.75 5400.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 541                           #nx nz
-50000.00 0.00 1527.2954  1024.7060 35.5978 21.8912
-50000.00 10.00 1527.3851  1024.7600 35.5995 21.8595
-50000.00 20.00 1527.2797  1024.8375 35.6045 21.7520
-50000.00 30.00 1526.8123  1024.9555 35.6122 21.5062
-50000.00 40.00 1526.1010  1025.0964 35.6182 21.1713
-50000.00 50.00 1525.2988  1025.2427 35.6219 20.8067
-50000.00 60.00 1524.4697  1025.3880 35.6236 20.4368
-50000.00 70.00 1523.6073  1025.5328 35.6236 20.0595
-50000.00 80.00 1522.7098  1025.6768 35.6213 19.6745
-50000.00 90.00 1521.8075  1025.8169 35.6166 19.2930
-50000.00 100.00 1520.9683  1025.9472 35.6096 18.9387
-50000.00 110.00 1520.2708  1026.0620 35.6014 18.6377
-50000.00 120.00 1519.7621  1026.1589 35.5933 18.4048
-50000.00 130.00 1519.4244  1026.2410 35.5860 18.2320
-50000.00 140.00 1519.1926  1026.3141 35.5794 18.0961
-50000.00 150.00 1518.9771  1026.3848 35.5720 17.9669
-50000.00 160.00 1518.7056  1026.4584 35.5628 17.8199
-50000.00 170.00 1518.3888  1026.5343 35.5520 17.6585
-50000.00 180.00 1517.9720  1026.6145 35.5376 17.4662
-50000.00 190.00 1517.5237  1026.6962 35.5220 17.2641
-50000.00 200.00 1517.0276  1026.7788 35.5041 17.0487
-50000.00 210.00 1516.4885  1026.8622 35.4840 16.8213
-50000.00 220.00 1515.9494  1026.9457 35.4639 16.5940
-50000.00 230.00 1515.3677  1027.0283 35.4412 16.3572
-50000.00 240.00 1514.7701  1027.1106 35.4174 16.1168
-50000.00 250.00 1514.1725  1027.1930 35.3937 15.8765
-50000.00 260.00 1513.5505  1027.2752 35.3688 15.6305
-50000.00 270.00 1512.8565  1027.3572 35.3405 15.3678
-50000.00 280.00 1512.1625  1027.4391 35.3121 15.1050
-50000.00 290.00 1511.4685  1027.5211 35.2838 14.8423
-50000.00 300.00 1510.7736  1027.6031 35.2554 14.5793
-50000.00 310.00 1509.9477  1027.6845 35.2219 14.2872
-50000.00 320.00 1509.1219  1027.7659 35.1884 13.9952
-50000.00 330.00 1508.2960  1027.8474 35.1549 13.7031
-50000.00 340.00 1507.4701  1027.9288 35.1214 13.4111
-50000.00 350.00 1506.6442  1028.0103 35.0879 13.1190
-50000.00 360.00 1505.7854  1028.0871 35.0538 12.8289
-50000.00 370.00 1504.9241  1028.1635 35.0197 12.5390
-50000.00 380.00 1504.0629  1028.2400 34.9856 12.2491
-50000.00 390.00 1503.2016  1028.3165 34.9514 11.9592
-50000.00 400.00 1502.3403  1028.3930 34.9173 11.6693
-50000.00 410.00 1501.4800  1028.4694 34.8832 11.3797
-50000.00 420.00 1500.7588  1028.5371 34.8551 11.1396
-50000.00 430.00 1500.0375  1028.6048 34.8270 10.8994
-50000.00 440.00 1499.3162  1028.6725 34.7990 10.6593
-50000.00 450.00 1498.5950  1028.7402 34.7709 10.4191
-50000.00 460.00 1497.8737  1028.8079 34.7428 10.1790
-50000.00 470.00 1497.1525  1028.8756 34.7148 9.9388
-50000.00 480.00 1496.4887  1028.9414 34.6889 9.7157
-50000.00 490.00 1495.9946  1029.0013 34.6697 9.5430
-50000.00 500.00 1495.5005  1029.0613 34.6504 9.3703
-50000.00 510.00 1495.0064  1029.1213 34.6312 9.1976
-50000.00 520.00 1494.5123  1029.1812 34.6119 9.0249
-50000.00 530.00 1494.0182  1029.2412 34.5926 8.8522
-50000.00 540.00 1493.5241  1029.3012 34.5734 8.6795
-50000.00 550.00 1493.0301  1029.3611 34.5541 8.5068
-50000.00 560.00 1492.6810  1029.4177 34.5404 8.3741
-50000.00 570.00 1492.3859  1029.4731 34.5286 8.2561
-50000.00 580.00 1492.0908  1029.5285 34.5169 8.1382
-50000.00 590.00 1491.7956  1029.5839 34.5051 8.0202
-50000.00 600.00 1491.5005  1029.6393 34.4933 7.9023
-50000.00 610.00 1491.2054  1029.6947 34.4816 7.7843
-50000.00 620.00 1490.9102  1029.7501 34.4698 7.6664
-50000.00 630.00 1490.6151  1029.8055 34.4581 7.5484
-50000.00 640.00 1490.3835  1029.8599 34.4489 7.4473
-50000.00 650.00 1490.2091  1029.9135 34.4421 7.3613
-50000.00 660.00 1490.0346  1029.9671 34.4353 7.2753
-50000.00 670.00 1489.8602  1030.0207 34.4284 7.1893
