-50000.00 0.00 55559.75 3190.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 320                           #nx nz
-50000.00 0.00 1539.1689  1021.8129 34.0400 27.5727
-50000.00 10.00 1539.2630  1021.8741 34.0475 27.5343
-50000.00 20.00 1539.1271  1021.9983 34.0874 27.3761
-50000.00 30.00 1538.7146  1022.2009 34.1703 27.0734
-50000.00 40.00 1538.2176  1022.4241 34.2643 26.7305
-50000.00 50.00 1537.6360  1022.6555 34.3565 26.3549
-50000.00 60.00 1536.9291  1022.9004 34.4475 25.9302
-50000.00 70.00 1536.0152  1023.1707 34.5400 25.4223
-50000.00 80.00 1534.7993  1023.4705 34.6274 24.7987
-50000.00 90.00 1533.2378  1023.7915 34.6986 24.0532
-50000.00 100.00 1531.3859  1024.1159 34.7456 23.2192
-50000.00 110.00 1529.3545  1024.4292 34.7699 22.3455
-50000.00 120.00 1527.2469  1024.7247 34.7784 21.4715
-50000.00 130.00 1525.1391  1024.9991 34.7760 20.6229
-50000.00 140.00 1523.0708  1025.2527 34.7656 19.8101
-50000.00 150.00 1521.1312  1025.4750 34.7475 19.0696
-50000.00 160.00 1519.3030  1025.6782 34.7267 18.3811
-50000.00 170.00 1517.5648  1025.8662 34.7036 17.7348
-50000.00 180.00 1516.0361  1026.0278 34.6795 17.1744
-50000.00 190.00 1514.5736  1026.1812 34.6549 16.6410
-50000.00 200.00 1513.2399  1026.3206 34.6310 16.1581
-50000.00 210.00 1512.0222  1026.4474 34.6076 15.7205
-50000.00 220.00 1510.8045  1026.5742 34.5842 15.2828
-50000.00 230.00 1509.7284  1026.6878 34.5632 14.8989
-50000.00 240.00 1508.7049  1026.7964 34.5431 14.5349
-50000.00 250.00 1507.6814  1026.9051 34.5230 14.1709
-50000.00 260.00 1506.6983  1027.0105 34.5041 13.8218
-50000.00 270.00 1505.8344  1027.1066 34.4886 13.5164
-50000.00 280.00 1504.9706  1027.2027 34.4732 13.2110
-50000.00 290.00 1504.1067  1027.2988 34.4577 12.9056
-50000.00 300.00 1503.2436  1027.3949 34.4423 12.6004
-50000.00 310.00 1502.4858  1027.4836 34.4317 12.3346
-50000.00 320.00 1501.7279  1027.5723 34.4211 12.0687
-50000.00 330.00 1500.9701  1027.6611 34.4105 11.8028
-50000.00 340.00 1500.2122  1027.7498 34.3999 11.5369
-50000.00 350.00 1499.4544  1027.8385 34.3893 11.2711
-50000.00 360.00 1498.7869  1027.9225 34.3839 11.0374
-50000.00 370.00 1498.1261  1028.0062 34.3789 10.8060
-50000.00 380.00 1497.4652  1028.0899 34.3739 10.5747
-50000.00 390.00 1496.8044  1028.1736 34.3689 10.3433
-50000.00 400.00 1496.1435  1028.2573 34.3639 10.1120
-50000.00 410.00 1495.4836  1028.3410 34.3589 9.8809
-50000.00 420.00 1494.9632  1028.4186 34.3591 9.6937
-50000.00 430.00 1494.4427  1028.4963 34.3593 9.5064
-50000.00 440.00 1493.9223  1028.5739 34.3595 9.3191
-50000.00 450.00 1493.4018  1028.6515 34.3597 9.1319
-50000.00 460.00 1492.8814  1028.7292 34.3599 8.9446
-50000.00 470.00 1492.3610  1028.8068 34.3601 8.7573
-50000.00 480.00 1491.8729  1028.8829 34.3609 8.5798
-50000.00 490.00 1491.4805  1028.9545 34.3635 8.4311
-50000.00 500.00 1491.0880  1029.0260 34.3660 8.2824
-50000.00 510.00 1490.6956  1029.0975 34.3686 8.1337
-50000.00 520.00 1490.3032  1029.1690 34.3712 7.9849
-50000.00 530.00 1489.9107  1029.2405 34.3738 7.8362
-50000.00 540.00 1489.5183  1029.3121 34.3764 7.6875
-50000.00 550.00 1489.1258  1029.3836 34.3789 7.5388
-50000.00 560.00 1488.7900  1029.4515 34.3814 7.4075
-50000.00 570.00 1488.4752  1029.5181 34.3839 7.2828
-50000.00 580.00 1488.1605  1029.5846 34.3863 7.1580
-50000.00 590.00 1487.8457  1029.6512 34.3888 7.0333
-50000.00 600.00 1487.5309  1029.7178 34.3912 6.9085
-50000.00 610.00 1487.2161  1029.7843 34.3937 6.7838
-50000.00 620.00 1486.9013  1029.8509 34.3961 6.6590
-50000.00 630.00 1486.5866  1029.9175 34.3986 6.5343
-50000.00 640.00 1486.3252  1029.9818 34.4014 6.4243
-50000.00 650.00 1486.1118  1030.0441 34.4045 6.3276
-50000.00 660.00 1485.8984  1030.1063 34.4077 6.2309
-50000.00 670.00 1485.6850  1030.1686 34.4109 6.1342
-50000.00 680.00 1485.4717  1030.2309 34.4140 6.0375
-50000.00 690.00 1485.2583  1030.2931 34.4172 5.9408
-50000.00 700.00 1485.0449  1030.3554 34.4204 5.8442
-50000.00 710.00 1484.8316  1030.4177 34.4235 5.7475
-50000.00 720.00 1484.6182  1030.4799 34.4267 5.6508
-50000.00 730.00 1484.4693  1030.5400 34.4305 5.5711
-50000.00 740.00 1484.3408  1030.5994 34.4345 5.4968
-50000.00 750.00 1484.2123  1030.6588 34.4386 5.4225
-50000.00 760.00 1484.0838  1030.7182 34.4426 5.3482
-50000.00 770.00 1483.9553  1030.7776 34.4466 5.2739
-50000.00 780.00 1483.8268  1030.8370 34.4506 5.1996
-50000.00 790.00 1483.6984  1030.8964 34.4547 5.1253
-50000.00 800.00 1483.5699  1030.9558 34.4587 5.0510
-50000.00 810.00 1483.4414  1031.0152 34.4627 4.9767
-50000.00 820.00 1483.3516  1031.0729 34.4665 4.9125
-50000.00 830.00 1483.2932  1031.1293 34.4700 4.8564
-50000.00 840.00 1483.2348  1031.1856 34.4736 4.8003
-50000.00 850.00 1483.1763  1031.2420 34.4771 4.7441
-50000.00 860.00 1483.1179  1031.2984 34.4807 4.6880
-50000.00 870.00 1483.0595  1031.3548 34.4843 4.6319
