-50000.00 0.00 55559.75 2000.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 201                           #nx nz
-50000.00 0.00 1511.5198  1025.0048 34.2833 16.8474
-50000.00 10.00 1511.5948  1025.0553 34.2818 16.8166
-50000.00 20.00 1511.5199  1025.1156 34.2781 16.7371
-50000.00 30.00 1511.0583  1025.2002 34.2684 16.5331
-50000.00 40.00 1510.1099  1025.3146 34.2516 16.1744
-50000.00 50.00 1508.7609  1025.4518 34.2295 15.6922
-50000.00 60.00 1507.2108  1025.5975 34.2048 15.1533
-50000.00 70.00 1505.6440  1025.7401 34.1800 14.6168
-50000.00 80.00 1504.1879  1025.8722 34.1561 14.1216
-50000.00 90.00 1502.8943  1025.9908 34.1326 13.6822
-50000.00 100.00 1501.7579  1026.0969 34.1090 13.2953
-50000.00 110.00 1500.7583  1026.1935 34.0863 12.9529
-50000.00 120.00 1499.8525  1026.2850 34.0660 12.6404
-50000.00 130.00 1498.9678  1026.3767 34.0490 12.3355
-50000.00 140.00 1498.0579  1026.4722 34.0360 12.0238
-50000.00 150.00 1497.1392  1026.5778 34.0366 11.7080
-50000.00 160.00 1496.2644  1026.6903 34.0495 11.4025
-50000.00 170.00 1495.4252  1026.8085 34.0724 11.1053
-50000.00 180.00 1494.7116  1026.9313 34.1104 10.8413
-50000.00 190.00 1494.0378  1027.0556 34.1531 10.5878
-50000.00 200.00 1493.4580  1027.1762 34.1980 10.3616
-50000.00 210.00 1492.9629  1027.2936 34.2448 10.1600
-50000.00 220.00 1492.4678  1027.4109 34.2917 9.9584
-50000.00 230.00 1492.0355  1027.5156 34.3282 9.7798
-50000.00 240.00 1491.6266  1027.6156 34.3610 9.6097
-50000.00 250.00 1491.2176  1027.7156 34.3937 9.4396
-50000.00 260.00 1490.8049  1027.8106 34.4205 9.2713
-50000.00 270.00 1490.3808  1027.8904 34.4299 9.1080
-50000.00 280.00 1489.9567  1027.9703 34.4393 8.9448
-50000.00 290.00 1489.5326  1028.0501 34.4487 8.7815
-50000.00 300.00 1489.1083  1028.1299 34.4580 8.6183
-50000.00 310.00 1488.6451  1028.1967 34.4516 8.4533
-50000.00 320.00 1488.1819  1028.2635 34.4453 8.2883
-50000.00 330.00 1487.7187  1028.3303 34.4389 8.1232
-50000.00 340.00 1487.2555  1028.3971 34.4326 7.9582
-50000.00 350.00 1486.7923  1028.4639 34.4263 7.7932
-50000.00 360.00 1486.3760  1028.5241 34.4161 7.6450
-50000.00 370.00 1485.9631  1028.5838 34.4057 7.4980
-50000.00 380.00 1485.5502  1028.6436 34.3953 7.3510
-50000.00 390.00 1485.1373  1028.7033 34.3849 7.2040
-50000.00 400.00 1484.7244  1028.7630 34.3745 7.0571
-50000.00 410.00 1484.3126  1028.8227 34.3641 6.9103
-50000.00 420.00 1484.0531  1028.8778 34.3564 6.8044
-50000.00 430.00 1483.7937  1028.9328 34.3487 6.6984
-50000.00 440.00 1483.5342  1028.9879 34.3410 6.5924
-50000.00 450.00 1483.2747  1029.0430 34.3333 6.4865
-50000.00 460.00 1483.0153  1029.0980 34.3256 6.3805
-50000.00 470.00 1482.7558  1029.1531 34.3179 6.2745
-50000.00 480.00 1482.5328  1029.2076 34.3113 6.1777
-50000.00 490.00 1482.4174  1029.2607 34.3079 6.1080
-50000.00 500.00 1482.3019  1029.3137 34.3045 6.0382
-50000.00 510.00 1482.1865  1029.3667 34.3011 5.9685
-50000.00 520.00 1482.0711  1029.4198 34.2977 5.8987
-50000.00 530.00 1481.9557  1029.4728 34.2944 5.8290
-50000.00 540.00 1481.8403  1029.5258 34.2910 5.7593
-50000.00 550.00 1481.7248  1029.5788 34.2876 5.6895
-50000.00 560.00 1481.6629  1029.6318 34.2865 5.6328
-50000.00 570.00 1481.6208  1029.6848 34.2864 5.5809
-50000.00 580.00 1481.5787  1029.7378 34.2862 5.5290
-50000.00 590.00 1481.5366  1029.7908 34.2860 5.4771
-50000.00 600.00 1481.4945  1029.8438 34.2859 5.4253
-50000.00 610.00 1481.4523  1029.8968 34.2857 5.3734
-50000.00 620.00 1481.4102  1029.9498 34.2855 5.3215
-50000.00 630.00 1481.3681  1030.0028 34.2853 5.2696
-50000.00 640.00 1481.3380  1030.0562 34.2862 5.2206
-50000.00 650.00 1481.3187  1030.1099 34.2880 5.1741
-50000.00 660.00 1481.2993  1030.1637 34.2899 5.1277
-50000.00 670.00 1481.2800  1030.2174 34.2917 5.0812
-50000.00 680.00 1481.2606  1030.2712 34.2935 5.0347
-50000.00 690.00 1481.2413  1030.3249 34.2953 4.9883
-50000.00 700.00 1481.2219  1030.3787 34.2971 4.9418
-50000.00 710.00 1481.2026  1030.4325 34.2989 4.8954
-50000.00 720.00 1481.1832  1030.4862 34.3008 4.8489
-50000.00 730.00 1481.1704  1030.5406 34.3037 4.8040
-50000.00 740.00 1481.1597  1030.5951 34.3069 4.7596
-50000.00 750.00 1481.1490  1030.6497 34.3102 4.7152
-50000.00 760.00 1481.1382  1030.7043 34.3134 4.6708
-50000.00 770.00 1481.1275  1030.7588 34.3167 4.6263
-50000.00 780.00 1481.1168  1030.8134 34.3200 4.5819
-50000.00 790.00 1481.1060  1030.8680 34.3232 4.5375
-50000.00 800.00 1481.0953  1030.9225 34.3265 4.4931
-50000.00 810.00 1481.0846  1030.9771 34.3297 4.4487
-50000.00 820.00 1481.0831  1031.0319 34.3336 4.4065
-50000.00 830.00 1481.0890  1031.0868 34.3380 4.3661
-50000.00 840.00 1481.0949  1031.1417 34.3425 4.3257
-50000.00 850.00 1481.1008  1031.1966 34.3469 4.2853
-50000.00 860.00 1481.1068  1031.2515 34.3513 4.2449
-50000.00 870.00 1481.1127  1031.3064 34.3557 4.2045
-50000.00 880.00 1481.1186  1031.3613 34.3601 4.1640
-50000.00 890.00 1481.1246  1031.4162 34.3645 4.1236
-50000.00 900.00 1481.1305  1031.4711 34.3689 4.0832
-50000.00 910.00 1481.1372  1031.5260 34.3733 4.0430
-50000.00 920.00 1481.1741  1031.5803 34.3782 4.0101
-50000.00 930.00 1481.2109  1031.6345 34.3830 3.9772
-50000.00 940.00 1481.2477  1031.6888 34.3878 3.9442
-50000.00 950.00 1481.2845  1031.7430 34.3927 3.9113
-50000.00 960.00 1481.3214  1031.7973 34.3975 3.8784
-50000.00 970.00 1481.3582  1031.8515 34.4023 3.8454
-50000.00 980.00 1481.3950  1031.9058 34.4072 3.8125
-50000.00 990.00 1481.4319  1031.9600 34.4120 3.7796
-50000.00 1000.00 1481.4687  1032.0143 34.4168 3.7466
-50000.00 1010.00 1481.5140  1032.0682 34.4215 3.7158
-50000.00 1020.00 1481.5807  1032.1211 34.4259 3.6902
-50000.00 1030.00 1481.6473  1032.1741 34.4303 3.6645
-50000.00 1040.00 1481.7139  1032.2270 34.4347 3.6389
-50000.00 1050.00 1481.7806  1032.2800 34.4390 3.6133
-50000.00 1060.00 1481.8472  1032.3329 34.4434 3.5877
-50000.00 1070.00 1481.9139  1032.3858 34.4478 3.5621
-50000.00 1080.00 1481.9805  1032.4388 34.4522 3.5364
-50000.00 1090.00 1482.0471  1032.4917 34.4565 3.5108
-50000.00 1100.00 1482.1138  1032.5447 34.4609 3.4852
-50000.00 1110.00 1482.1872  1032.5971 34.4650 3.4613
-50000.00 1120.00 1482.2705  1032.6489 34.4685 3.4399
-50000.00 1130.00 1482.3538  1032.7006 34.4721 3.4185
-50000.00 1140.00 1482.4371  1032.7524 34.4757 3.3971
-50000.00 1150.00 1482.5204  1032.8041 34.4792 3.3757
-50000.00 1160.00 1482.6037  1032.8559 34.4828 3.3543
-50000.00 1170.00 1482.6870  1032.9076 34.4863 3.3329
-50000.00 1180.00 1482.7702  1032.9593 34.4899 3.3115
-50000.00 1190.00 1482.8535  1033.0111 34.4935 3.2901
-50000.00 1200.00 1482.9368  1033.0628 34.4970 3.2686
-50000.00 1210.00 1483.0235  1033.1142 34.5003 3.2481
-50000.00 1220.00 1483.1143  1033.1651 34.5031 3.2287
-50000.00 1230.00 1483.2052  1033.2160 34.5059 3.2094
-50000.00 1240.00 1483.2960  1033.2669 34.5088 3.1900
-50000.00 1250.00 1483.3869  1033.3177 34.5116 3.1706
-50000.00 1260.00 1483.4777  1033.3686 34.5144 3.1512
-50000.00 1270.00 1483.5685  1033.4195 34.5173 3.1318
-50000.00 1280.00 1483.6594  1033.4704 34.5201 3.1124
-50000.00 1290.00 1483.7502  1033.5213 34.5229 3.0930
-50000.00 1300.00 1483.8411  1033.5722 34.5258 3.0736
-50000.00 1310.00 1483.9336  1033.6228 34.5284 3.0546
-50000.00 1320.00 1484.0288  1033.6731 34.5307 3.0364
-50000.00 1330.00 1484.1241  1033.7234 34.5331 3.0182
-50000.00 1340.00 1484.2193  1033.7737 34.5354 3.0000
-50000.00 1350.00 1484.3146  1033.8240 34.5377 2.9818
-50000.00 1360.00 1484.4098  1033.8744 34.5400 2.9636
-50000.00 1370.00 1484.5050  1033.9247 34.5424 2.9454
-50000.00 1380.00 1484.6003  1033.9750 34.5447 2.9272
-50000.00 1390.00 1484.6955  1034.0253 34.5470 2.9089
-50000.00 1400.00 1484.7908  1034.0756 34.5494 2.8907
-50000.00 1410.00 1484.8863  1034.1259 34.5516 2.8726
-50000.00 1420.00 1484.9854  1034.1757 34.5536 2.8554
-50000.00 1430.00 1485.0845  1034.2256 34.5556 2.8381
-50000.00 1440.00 1485.1836  1034.2755 34.5576 2.8209
-50000.00 1450.00 1485.2827  1034.3254 34.5596 2.8037
-50000.00 1460.00 1485.3818  1034.3752 34.5616 2.7865
-50000.00 1470.00 1485.4809  1034.4251 34.5635 2.7692
-50000.00 1480.00 1485.5800  1034.4750 34.5655 2.7520
-50000.00 1490.00 1485.6791  1034.5249 34.5675 2.7348
-50000.00 1500.00 1485.7781  1034.5748 34.5695 2.7175
-50000.00 1510.00 1485.8772  1034.6246 34.5715 2.7003
-50000.00 1520.00 1485.9777  1034.6744 34.5734 2.6834
-50000.00 1530.00 1486.0817  1034.7238 34.5751 2.6674
-50000.00 1540.00 1486.1856  1034.7733 34.5768 2.6513
-50000.00 1550.00 1486.2895  1034.8228 34.5785 2.6353
-50000.00 1560.00 1486.3935  1034.8722 34.5802 2.6192
-50000.00 1570.00 1486.4974  1034.9217 34.5819 2.6032
-50000.00 1580.00 1486.6013  1034.9712 34.5836 2.5871
-50000.00 1590.00 1486.7053  1035.0206 34.5853 2.5711
-50000.00 1600.00 1486.8092  1035.0701 34.5870 2.5550
-50000.00 1610.00 1486.9131  1035.1195 34.5887 2.5390
-50000.00 1620.00 1487.0170  1035.1690 34.5904 2.5229
-50000.00 1630.00 1487.1210  1035.2185 34.5921 2.5069
-50000.00 1640.00 1487.2291  1035.2677 34.5936 2.4918
-50000.00 1650.00 1487.3402  1035.3167 34.5951 2.4774
-50000.00 1660.00 1487.4514  1035.3657 34.5965 2.4631
-50000.00 1670.00 1487.5625  1035.4147 34.5979 2.4487
-50000.00 1680.00 1487.6736  1035.4637 34.5994 2.4343
-50000.00 1690.00 1487.7847  1035.5127 34.6008 2.4200
-50000.00 1700.00 1487.8959  1035.5617 34.6022 2.4056
-50000.00 1710.00 1488.0070  1035.6107 34.6037 2.3912
-50000.00 1720.00 1488.1181  1035.6597 34.6051 2.3768
