-50000.00 0.00 55559.75 2010.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 202                           #nx nz
-50000.00 0.00 1510.6327  1025.0339 34.2373 16.5727
-50000.00 10.00 1510.7066  1025.0844 34.2358 16.5418
-50000.00 20.00 1510.6297  1025.1447 34.2323 16.4622
-50000.00 30.00 1510.1631  1025.2295 34.2233 16.2577
-50000.00 40.00 1509.2047  1025.3445 34.2081 15.8979
-50000.00 50.00 1507.8384  1025.4828 34.1883 15.4129
-50000.00 60.00 1506.2609  1025.6303 34.1661 14.8684
-50000.00 70.00 1504.6567  1025.7752 34.1438 14.3234
-50000.00 80.00 1503.1577  1025.9096 34.1220 13.8180
-50000.00 90.00 1501.8211  1026.0305 34.1003 13.3684
-50000.00 100.00 1500.6536  1026.1383 34.0786 12.9746
-50000.00 110.00 1499.6608  1026.2352 34.0587 12.6360
-50000.00 120.00 1498.8147  1026.3252 34.0422 12.3423
-50000.00 130.00 1498.0261  1026.4140 34.0297 12.0662
-50000.00 140.00 1497.2226  1026.5064 34.0215 11.7859
-50000.00 150.00 1496.3764  1026.6110 34.0267 11.4911
-50000.00 160.00 1495.5493  1026.7242 34.0445 11.1992
-50000.00 170.00 1494.7376  1026.8444 34.0725 10.9095
-50000.00 180.00 1494.0372  1026.9695 34.1148 10.6490
-50000.00 190.00 1493.3719  1027.0962 34.1617 10.3977
-50000.00 200.00 1492.8090  1027.2173 34.2088 10.1764
-50000.00 210.00 1492.3382  1027.3334 34.2561 9.9823
-50000.00 220.00 1491.8673  1027.4495 34.3034 9.7881
-50000.00 230.00 1491.4726  1027.5506 34.3382 9.6212
-50000.00 240.00 1491.1062  1027.6462 34.3683 9.4643
-50000.00 250.00 1490.7398  1027.7417 34.3985 9.3074
-50000.00 260.00 1490.3664  1027.8325 34.4229 9.1512
-50000.00 270.00 1489.9723  1027.9092 34.4303 8.9971
-50000.00 280.00 1489.5782  1027.9859 34.4378 8.8431
-50000.00 290.00 1489.1841  1028.0626 34.4453 8.6890
-50000.00 300.00 1488.7895  1028.1392 34.4526 8.5349
-50000.00 310.00 1488.3336  1028.2051 34.4458 8.3723
-50000.00 320.00 1487.8777  1028.2710 34.4389 8.2097
-50000.00 330.00 1487.4217  1028.3369 34.4320 8.0471
-50000.00 340.00 1486.9658  1028.4027 34.4251 7.8845
-50000.00 350.00 1486.5099  1028.4686 34.4182 7.7220
-50000.00 360.00 1486.1007  1028.5284 34.4081 7.5758
-50000.00 370.00 1485.6949  1028.5878 34.3978 7.4309
-50000.00 380.00 1485.2891  1028.6472 34.3874 7.2860
-50000.00 390.00 1484.8833  1028.7065 34.3771 7.1411
-50000.00 400.00 1484.4776  1028.7659 34.3667 6.9961
-50000.00 410.00 1484.0729  1028.8253 34.3564 6.8515
-50000.00 420.00 1483.8229  1028.8801 34.3489 6.7480
-50000.00 430.00 1483.5730  1028.9350 34.3415 6.6445
-50000.00 440.00 1483.3230  1028.9898 34.3340 6.5410
-50000.00 450.00 1483.0731  1029.0447 34.3266 6.4375
-50000.00 460.00 1482.8231  1029.0996 34.3191 6.3340
-50000.00 470.00 1482.5732  1029.1544 34.3117 6.2305
-50000.00 480.00 1482.3591  1029.2088 34.3053 6.1360
-50000.00 490.00 1482.2510  1029.2617 34.3021 6.0681
-50000.00 500.00 1482.1429  1029.3146 34.2989 6.0002
-50000.00 510.00 1482.0348  1029.3675 34.2957 5.9323
-50000.00 520.00 1481.9267  1029.4205 34.2925 5.8643
-50000.00 530.00 1481.8186  1029.4734 34.2893 5.7964
-50000.00 540.00 1481.7105  1029.5263 34.2862 5.7285
-50000.00 550.00 1481.6025  1029.5792 34.2830 5.6606
-50000.00 560.00 1481.5449  1029.6321 34.2820 5.6050
-50000.00 570.00 1481.5061  1029.6850 34.2819 5.5539
-50000.00 580.00 1481.4673  1029.7380 34.2818 5.5029
-50000.00 590.00 1481.4285  1029.7909 34.2817 5.4518
-50000.00 600.00 1481.3898  1029.8438 34.2816 5.4008
-50000.00 610.00 1481.3510  1029.8967 34.2815 5.3497
-50000.00 620.00 1481.3122  1029.9496 34.2814 5.2987
-50000.00 630.00 1481.2734  1030.0026 34.2813 5.2476
-50000.00 640.00 1481.2459  1030.0559 34.2822 5.1992
-50000.00 650.00 1481.2284  1030.1095 34.2840 5.1533
-50000.00 660.00 1481.2109  1030.1632 34.2857 5.1073
-50000.00 670.00 1481.1934  1030.2169 34.2875 5.0613
-50000.00 680.00 1481.1759  1030.2705 34.2893 5.0153
-50000.00 690.00 1481.1584  1030.3242 34.2911 4.9694
-50000.00 700.00 1481.1409  1030.3778 34.2929 4.9234
-50000.00 710.00 1481.1235  1030.4315 34.2946 4.8774
-50000.00 720.00 1481.1060  1030.4852 34.2964 4.8315
-50000.00 730.00 1481.0951  1030.5394 34.2992 4.7871
-50000.00 740.00 1481.0863  1030.5938 34.3024 4.7432
-50000.00 750.00 1481.0775  1030.6482 34.3055 4.6993
-50000.00 760.00 1481.0687  1030.7026 34.3087 4.6554
-50000.00 770.00 1481.0599  1030.7570 34.3118 4.6115
-50000.00 780.00 1481.0511  1030.8114 34.3150 4.5676
-50000.00 790.00 1481.0423  1030.8659 34.3181 4.5237
-50000.00 800.00 1481.0335  1030.9203 34.3213 4.4798
-50000.00 810.00 1481.0247  1030.9747 34.3244 4.4359
-50000.00 820.00 1481.0241  1031.0293 34.3282 4.3940
-50000.00 830.00 1481.0300  1031.0841 34.3326 4.3536
-50000.00 840.00 1481.0360  1031.1390 34.3369 4.3133
-50000.00 850.00 1481.0419  1031.1938 34.3412 4.2729
-50000.00 860.00 1481.0479  1031.2486 34.3455 4.2325
-50000.00 870.00 1481.0539  1031.3034 34.3498 4.1922
-50000.00 880.00 1481.0598  1031.3583 34.3541 4.1518
-50000.00 890.00 1481.0658  1031.4131 34.3585 4.1115
-50000.00 900.00 1481.0717  1031.4679 34.3628 4.0711
-50000.00 910.00 1481.0785  1031.5227 34.3671 4.0309
-50000.00 920.00 1481.1135  1031.5771 34.3720 3.9976
-50000.00 930.00 1481.1486  1031.6314 34.3768 3.9642
-50000.00 940.00 1481.1836  1031.6857 34.3817 3.9309
-50000.00 950.00 1481.2187  1031.7400 34.3865 3.8975
-50000.00 960.00 1481.2538  1031.7944 34.3914 3.8642
-50000.00 970.00 1481.2888  1031.8487 34.3963 3.8308
-50000.00 980.00 1481.3239  1031.9030 34.4011 3.7975
-50000.00 990.00 1481.3590  1031.9574 34.4060 3.7641
-50000.00 1000.00 1481.3940  1032.0117 34.4108 3.7308
-50000.00 1010.00 1481.4380  1032.0657 34.4156 3.6996
-50000.00 1020.00 1481.5044  1032.1187 34.4201 3.6739
-50000.00 1030.00 1481.5709  1032.1718 34.4246 3.6482
-50000.00 1040.00 1481.6373  1032.2249 34.4292 3.6225
-50000.00 1050.00 1481.7037  1032.2779 34.4337 3.5968
-50000.00 1060.00 1481.7701  1032.3310 34.4382 3.5711
-50000.00 1070.00 1481.8365  1032.3841 34.4427 3.5454
-50000.00 1080.00 1481.9029  1032.4371 34.4472 3.5197
-50000.00 1090.00 1481.9694  1032.4902 34.4517 3.4940
-50000.00 1100.00 1482.0358  1032.5432 34.4562 3.4683
-50000.00 1110.00 1482.1099  1032.5958 34.4604 3.4445
-50000.00 1120.00 1482.1950  1032.6476 34.4641 3.4235
-50000.00 1130.00 1482.2802  1032.6994 34.4679 3.4025
