KNSTM          STLA           STLO      STDP	EVLE
H03N1    -33.458000     -78.934097       812    -1538
H03N2    -33.446701     -78.949699       823    -2060
H03N3    -33.441601     -78.929100       836    -2003
H03S1    -33.818199     -78.835297       837    -2040
H03S2    -33.833801     -78.846199       816    -2160
H03S3    -33.818199     -78.856903       836    -2011
H11N1     19.713600     166.891098       731    -1418
H11N2     19.731199     166.896805       721    -1427
H11N3     19.717899     166.909897       729    -1433
H11S1     18.508301     166.700302       750    -1179
H11S2     18.490499     166.705399       742    -1197
H11S3     18.494900     166.687302       726    -1146
