KNSTM          STLA           STLO      STDP
N0001      1.692469    -146.961853      1500
N0002     -2.022913    -155.004715      1500
N0004    -17.597071    -118.667953      1500
N0005    -21.671955    -104.669312      1500
P0012    -13.525496    -159.439957      1900
P0016    -11.809928    -144.310806       500
P0017    -11.936117    -140.596390      1000
P0018    -13.293102    -136.424210      1250
P0019    -14.157369    -125.240913       500
P0021    -21.604801    -129.184509      1000
P0022    -23.355558    -140.722534      1250
P0023    -27.977253    -156.394760      1500
P0025    -23.053314    -136.041122      1500
P0026    -11.631554    -147.223480      1500
P0027     -8.246068    -150.323593      1500
P0028     -8.786265    -150.084686      1500
P0032     -6.046712    -159.561127      1500
P0033     -6.598902    -127.208580      1500
P0035    -16.439688    -141.517746      1500
P0036    -22.235081    -142.464462      1500
P0038    -28.849400    -150.957550      1500
P0040    -29.231997    -154.042633      1500
P0041    -27.382092    -161.752670      1500
P0042    -29.847593    -170.140701      1500
P0045    -25.295368    -165.846100      1500
P0048    -29.420912     173.488373      1000
P0049    -30.553123     178.669449      1500
P0052    -25.565697    -149.159531      1500
P0053    -29.972130    -157.877655      1500
P0054    -28.492664    -171.993408      1500
R0073     20.037935     118.718147      1500
H03N1    -33.458000     -78.934097       812
H03N2    -33.446701     -78.949699       823
H03N3    -33.441601     -78.929100       836
H03S1    -33.818199     -78.835297       837
H03S2    -33.833801     -78.846199       816
H03S3    -33.818199     -78.856903       836
H11N1     19.713600     166.891098       731
H11N2     19.731199     166.896805       721
H11N3     19.717899     166.909897       729
H11S1     18.508301     166.700302       750
H11S2     18.490499     166.705399       742
H11S3     18.494900     166.687302       726
