-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1539.0152  1023.7158 36.0905 26.4510
-50000.00 10.00 1539.1611  1023.7634 36.0916 26.4397
-50000.00 20.00 1539.2971  1023.8135 36.0939 26.4234
-50000.00 30.00 1539.3685  1023.8764 36.1005 26.3767
-50000.00 40.00 1539.2579  1023.9753 36.1190 26.2446
-50000.00 50.00 1538.9132  1024.1209 36.1540 26.0032
-50000.00 60.00 1538.4303  1024.2929 36.1985 25.6993
-50000.00 70.00 1537.8927  1024.4707 36.2432 25.3747
-50000.00 80.00 1537.2966  1024.6504 36.2834 25.0307
-50000.00 90.00 1536.6333  1024.8286 36.3146 24.6665
-50000.00 100.00 1535.9310  1024.9963 36.3311 24.2971
-50000.00 110.00 1535.2350  1025.1461 36.3310 23.9423
-50000.00 120.00 1534.5756  1025.2765 36.3162 23.6128
-50000.00 130.00 1533.9559  1025.3907 36.2907 23.3075
-50000.00 140.00 1533.3611  1025.4938 36.2574 23.0183
-50000.00 150.00 1532.7524  1025.5866 36.2129 22.7321
-50000.00 160.00 1532.0684  1025.6775 36.1582 22.4238
-50000.00 170.00 1531.3235  1025.7668 36.0954 22.0976
-50000.00 180.00 1530.2955  1025.8641 36.0114 21.6795
-50000.00 190.00 1529.1780  1025.9640 35.9206 21.2324
-50000.00 200.00 1527.7574  1026.0773 35.8173 20.6900
-50000.00 210.00 1526.0643  1026.2025 35.7025 20.0618
-50000.00 220.00 1524.3713  1026.3277 35.5878 19.4336
-50000.00 230.00 1522.3789  1026.4661 35.4764 18.7292
-50000.00 240.00 1520.2754  1026.6094 35.3663 17.9965
-50000.00 250.00 1518.1719  1026.7526 35.2562 17.2637
-50000.00 260.00 1516.0727  1026.8948 35.1539 16.5429
-50000.00 270.00 1513.9867  1027.0335 35.0748 15.8572
-50000.00 280.00 1511.9006  1027.1723 34.9957 15.1715
-50000.00 290.00 1509.8145  1027.3111 34.9166 14.4858
-50000.00 300.00 1507.7312  1027.4497 34.8378 13.8011
-50000.00 310.00 1506.0316  1027.5690 34.7952 13.2657
-50000.00 320.00 1504.3320  1027.6883 34.7527 12.7303
-50000.00 330.00 1502.6324  1027.8076 34.7101 12.1949
-50000.00 340.00 1500.9328  1027.9269 34.6676 11.6596
-50000.00 350.00 1499.2332  1028.0462 34.6251 11.1242
-50000.00 360.00 1498.0929  1028.1434 34.6085 10.7648
-50000.00 370.00 1496.9935  1028.2389 34.5938 10.4183
-50000.00 380.00 1495.8940  1028.3345 34.5791 10.0717
-50000.00 390.00 1494.7946  1028.4300 34.5644 9.7252
-50000.00 400.00 1493.6951  1028.5256 34.5497 9.3787
-50000.00 410.00 1492.5998  1028.6210 34.5352 9.0333
-50000.00 420.00 1492.0921  1028.6950 34.5341 8.8537
-50000.00 430.00 1491.5843  1028.7690 34.5331 8.6742
-50000.00 440.00 1491.0766  1028.8430 34.5320 8.4946
-50000.00 450.00 1490.5688  1028.9169 34.5310 8.3150
-50000.00 460.00 1490.0610  1028.9909 34.5300 8.1354
-50000.00 470.00 1489.5533  1029.0649 34.5289 7.9559
-50000.00 480.00 1489.1154  1029.1358 34.5282 7.7955
-50000.00 490.00 1488.8839  1029.1975 34.5282 7.6917
-50000.00 500.00 1488.6524  1029.2593 34.5283 7.5879
-50000.00 510.00 1488.4209  1029.3210 34.5283 7.4841
-50000.00 520.00 1488.1894  1029.3828 34.5284 7.3804
-50000.00 530.00 1487.9579  1029.4445 34.5284 7.2766
-50000.00 540.00 1487.7264  1029.5063 34.5285 7.1728
-50000.00 550.00 1487.4949  1029.5680 34.5285 7.0690
-50000.00 560.00 1487.3193  1029.6264 34.5278 6.9811
-50000.00 570.00 1487.1644  1029.6835 34.5267 6.8991
-50000.00 580.00 1487.0095  1029.7407 34.5256 6.8171
-50000.00 590.00 1486.8546  1029.7978 34.5246 6.7351
-50000.00 600.00 1486.6997  1029.8550 34.5235 6.6531
