-50000.00 0.00 55559.75 7990.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 800                           #nx nz
-50000.00 0.00 1538.6401  1022.7663 34.9962 26.8441
-50000.00 10.00 1538.6808  1022.8301 34.9989 26.7854
-50000.00 20.00 1538.7423  1022.8908 35.0012 26.7361
-50000.00 30.00 1538.8144  1022.9497 35.0033 26.6917
-50000.00 40.00 1538.8314  1023.0165 35.0056 26.6230
-50000.00 50.00 1538.6738  1023.1079 35.0085 26.4778
-50000.00 60.00 1538.1108  1023.2534 35.0107 26.1580
-50000.00 70.00 1536.9564  1023.4776 35.0152 25.5878
-50000.00 80.00 1535.2603  1023.7737 35.0288 24.7964
-50000.00 90.00 1533.1616  1024.1112 35.0456 23.8581
-50000.00 100.00 1530.6706  1024.4688 35.0509 22.7964
-50000.00 110.00 1527.7317  1024.8408 35.0391 21.6045
-50000.00 120.00 1524.3858  1025.2203 35.0152 20.3083
-50000.00 130.00 1520.8148  1025.5915 34.9865 18.9786
-50000.00 140.00 1517.2297  1025.9401 34.9578 17.6868
-50000.00 150.00 1514.0517  1026.2297 34.9340 16.5836
-50000.00 160.00 1511.3158  1026.4772 34.9143 15.6447
-50000.00 170.00 1508.9374  1026.6909 34.8979 14.8384
-50000.00 180.00 1507.2196  1026.8539 34.8866 14.2546
-50000.00 190.00 1505.7103  1027.0010 34.8769 13.7410
-50000.00 200.00 1504.5311  1027.1256 34.8693 13.3328
-50000.00 210.00 1503.6486  1027.2300 34.8633 13.0194
-50000.00 220.00 1502.7661  1027.3344 34.8574 12.7061
-50000.00 230.00 1502.1126  1027.4230 34.8516 12.4648
-50000.00 240.00 1501.5444  1027.5059 34.8459 12.2503
-50000.00 250.00 1500.9761  1027.5888 34.8401 12.0358
-50000.00 260.00 1500.4342  1027.6692 34.8339 11.8302
-50000.00 270.00 1499.9705  1027.7426 34.8263 11.6507
-50000.00 280.00 1499.5068  1027.8160 34.8186 11.4713
-50000.00 290.00 1499.0431  1027.8893 34.8110 11.2918
