-50000.00 0.00 55559.75 1530.00 #x_min(m) z_min(m) x_max(m) z_max(m)
5000.0000 10.0000                #dx(m) dz(m)
22 154                           #nx nz
-50000.00 0.00 1511.4923  1025.0059 34.2821 16.8388
-50000.00 10.00 1511.5674  1025.0564 34.2806 16.8080
-50000.00 20.00 1511.4921  1025.1167 34.2769 16.7284
-50000.00 30.00 1511.0295  1025.2014 34.2672 16.5241
-50000.00 40.00 1510.0796  1025.3159 34.2504 16.1650
-50000.00 50.00 1508.7293  1025.4531 34.2283 15.6825
-50000.00 60.00 1507.1784  1025.5988 34.2037 15.1435
-50000.00 70.00 1505.6111  1025.7414 34.1790 14.6069
-50000.00 80.00 1504.1548  1025.8735 34.1552 14.1118
-50000.00 90.00 1502.8617  1025.9921 34.1317 13.6726
-50000.00 100.00 1501.7267  1026.0981 34.1082 13.2862
-50000.00 110.00 1500.7295  1026.1946 34.0857 12.9445
-50000.00 120.00 1499.8273  1026.2860 34.0655 12.6331
-50000.00 130.00 1498.9472  1026.3776 34.0486 12.3296
-50000.00 140.00 1498.0419  1026.4728 34.0357 12.0193
-50000.00 150.00 1497.1257  1026.5783 34.0363 11.7042
-50000.00 160.00 1496.2518  1026.6907 34.0492 11.3990
-50000.00 170.00 1495.4123  1026.8089 34.0721 11.1018
-50000.00 180.00 1494.6970  1026.9318 34.1100 10.8373
-50000.00 190.00 1494.0210  1027.0561 34.1527 10.5832
-50000.00 200.00 1493.4393  1027.1768 34.1976 10.3565
-50000.00 210.00 1492.9425  1027.2942 34.2444 10.1545
-50000.00 220.00 1492.4456  1027.4116 34.2912 9.9524
-50000.00 230.00 1492.0129  1027.5163 34.3277 9.7737
-50000.00 240.00 1491.6041  1027.6162 34.3604 9.6037
-50000.00 250.00 1491.1952  1027.7162 34.3931 9.4337
-50000.00 260.00 1490.7827  1027.8110 34.4198 9.2655
-50000.00 270.00 1490.3595  1027.8908 34.4292 9.1025
-50000.00 280.00 1489.9363  1027.9707 34.4386 8.9395
-50000.00 290.00 1489.5131  1028.0505 34.4481 8.7765
-50000.00 300.00 1489.0896  1028.1302 34.4573 8.6135
-50000.00 310.00 1488.6270  1028.1970 34.4510 8.4486
-50000.00 320.00 1488.1644  1028.2638 34.4447 8.2838
-50000.00 330.00 1487.7018  1028.3305 34.4384 8.1190
-50000.00 340.00 1487.2392  1028.3973 34.4321 7.9541
-50000.00 350.00 1486.7765  1028.4641 34.4257 7.7893
-50000.00 360.00 1486.3608  1028.5243 34.4156 7.6412
-50000.00 370.00 1485.9484  1028.5840 34.4052 7.4944
-50000.00 380.00 1485.5361  1028.6437 34.3948 7.3475
-50000.00 390.00 1485.1237  1028.7034 34.3844 7.2007
-50000.00 400.00 1484.7114  1028.7631 34.3740 7.0538
-50000.00 410.00 1484.3001  1028.8228 34.3637 6.9073
-50000.00 420.00 1484.0412  1028.8779 34.3560 6.8015
-50000.00 430.00 1483.7823  1028.9329 34.3483 6.6956
-50000.00 440.00 1483.5233  1028.9880 34.3406 6.5898
-50000.00 450.00 1483.2644  1029.0430 34.3329 6.4840
-50000.00 460.00 1483.0055  1029.0981 34.3252 6.3781
-50000.00 470.00 1482.7466  1029.1531 34.3176 6.2723
-50000.00 480.00 1482.5240  1029.2077 34.3110 6.1756
-50000.00 490.00 1482.4090  1029.2607 34.3076 6.1060
-50000.00 500.00 1482.2939  1029.3137 34.3042 6.0363
-50000.00 510.00 1482.1789  1029.3668 34.3008 5.9667
-50000.00 520.00 1482.0639  1029.4198 34.2975 5.8970
-50000.00 530.00 1481.9488  1029.4728 34.2941 5.8274
-50000.00 540.00 1481.8338  1029.5258 34.2907 5.7577
-50000.00 550.00 1481.7187  1029.5788 34.2873 5.6881
-50000.00 560.00 1481.6570  1029.6318 34.2863 5.6314
-50000.00 570.00 1481.6150  1029.6848 34.2861 5.5796
-50000.00 580.00 1481.5731  1029.7378 34.2860 5.5277
-50000.00 590.00 1481.5312  1029.7908 34.2858 5.4759
-50000.00 600.00 1481.4892  1029.8438 34.2856 5.4241
-50000.00 610.00 1481.4473  1029.8967 34.2854 5.3722
-50000.00 620.00 1481.4053  1029.9497 34.2853 5.3204
-50000.00 630.00 1481.3634  1030.0027 34.2851 5.2685
-50000.00 640.00 1481.3334  1030.0561 34.2860 5.2195
-50000.00 650.00 1481.3142  1030.1098 34.2878 5.1731
-50000.00 660.00 1481.2950  1030.1636 34.2896 5.1267
-50000.00 670.00 1481.2758  1030.2173 34.2914 5.0803
-50000.00 680.00 1481.2565  1030.2711 34.2932 5.0338
-50000.00 690.00 1481.2373  1030.3248 34.2950 4.9874
-50000.00 700.00 1481.2181  1030.3786 34.2968 4.9410
-50000.00 710.00 1481.1989  1030.4323 34.2986 4.8945
-50000.00 720.00 1481.1797  1030.4861 34.3005 4.8481
-50000.00 730.00 1481.1670  1030.5404 34.3034 4.8032
-50000.00 740.00 1481.1564  1030.5950 34.3066 4.7589
-50000.00 750.00 1481.1458  1030.6496 34.3099 4.7145
-50000.00 760.00 1481.1352  1030.7041 34.3131 4.6701
-50000.00 770.00 1481.1245  1030.7587 34.3164 4.6257
-50000.00 780.00 1481.1139  1030.8132 34.3196 4.5813
-50000.00 790.00 1481.1033  1030.8678 34.3229 4.5370
-50000.00 800.00 1481.0927  1030.9223 34.3261 4.4926
-50000.00 810.00 1481.0821  1030.9769 34.3294 4.4482
-50000.00 820.00 1481.0806  1031.0316 34.3333 4.4060
-50000.00 830.00 1481.0865  1031.0866 34.3377 4.3656
-50000.00 840.00 1481.0925  1031.1415 34.3421 4.3252
-50000.00 850.00 1481.0984  1031.1964 34.3465 4.2848
-50000.00 860.00 1481.1043  1031.2513 34.3509 4.2444
-50000.00 870.00 1481.1102  1031.3062 34.3553 4.2040
-50000.00 880.00 1481.1161  1031.3611 34.3597 4.1636
-50000.00 890.00 1481.1220  1031.4160 34.3641 4.1232
-50000.00 900.00 1481.1279  1031.4709 34.3685 4.0827
-50000.00 910.00 1481.1346  1031.5258 34.3729 4.0425
-50000.00 920.00 1481.1713  1031.5800 34.3778 4.0096
-50000.00 930.00 1481.2080  1031.6343 34.3826 3.9766
-50000.00 940.00 1481.2448  1031.6885 34.3874 3.9436
-50000.00 950.00 1481.2815  1031.7428 34.3923 3.9107
-50000.00 960.00 1481.3182  1031.7971 34.3971 3.8777
-50000.00 970.00 1481.3549  1031.8513 34.4019 3.8448
-50000.00 980.00 1481.3916  1031.9056 34.4068 3.8118
-50000.00 990.00 1481.4283  1031.9598 34.4116 3.7788
-50000.00 1000.00 1481.4650  1032.0141 34.4164 3.7459
-50000.00 1010.00 1481.5102  1032.0680 34.4212 3.7150
-50000.00 1020.00 1481.5768  1032.1209 34.4255 3.6894
-50000.00 1030.00 1481.6434  1032.1739 34.4299 3.6637
-50000.00 1040.00 1481.7100  1032.2268 34.4343 3.6381
-50000.00 1050.00 1481.7767  1032.2798 34.4387 3.6125
-50000.00 1060.00 1481.8433  1032.3328 34.4431 3.5868
-50000.00 1070.00 1481.9099  1032.3857 34.4475 3.5612
-50000.00 1080.00 1481.9765  1032.4387 34.4519 3.5356
-50000.00 1090.00 1482.0431  1032.4916 34.4563 3.5100
-50000.00 1100.00 1482.1098  1032.5446 34.4606 3.4843
-50000.00 1110.00 1482.1833  1032.5970 34.4647 3.4604
-50000.00 1120.00 1482.2666  1032.6488 34.4683 3.4391
-50000.00 1130.00 1482.3500  1032.7005 34.4718 3.4177
-50000.00 1140.00 1482.4334  1032.7523 34.4754 3.3963
-50000.00 1150.00 1482.5168  1032.8040 34.4790 3.3749
-50000.00 1160.00 1482.6002  1032.8558 34.4826 3.3535
-50000.00 1170.00 1482.6836  1032.9075 34.4861 3.3322
-50000.00 1180.00 1482.7670  1032.9593 34.4897 3.3108
-50000.00 1190.00 1482.8504  1033.0110 34.4933 3.2894
-50000.00 1200.00 1482.9338  1033.0628 34.4968 3.2680
-50000.00 1210.00 1483.0206  1033.1141 34.5001 3.2475
-50000.00 1220.00 1483.1115  1033.1650 34.5029 3.2281
-50000.00 1230.00 1483.2025  1033.2159 34.5058 3.2088
-50000.00 1240.00 1483.2935  1033.2668 34.5086 3.1894
-50000.00 1250.00 1483.3844  1033.3177 34.5114 3.1700
-50000.00 1260.00 1483.4754  1033.3686 34.5143 3.1507
-50000.00 1270.00 1483.5664  1033.4195 34.5171 3.1313
-50000.00 1280.00 1483.6574  1033.4703 34.5200 3.1119
-50000.00 1290.00 1483.7483  1033.5212 34.5228 3.0926
-50000.00 1300.00 1483.8393  1033.5721 34.5257 3.0732
-50000.00 1310.00 1483.9319  1033.6228 34.5283 3.0543
-50000.00 1320.00 1484.0272  1033.6731 34.5306 3.0361
-50000.00 1330.00 1484.1226  1033.7234 34.5330 3.0179
-50000.00 1340.00 1484.2179  1033.7737 34.5353 2.9997
-50000.00 1350.00 1484.3132  1033.8240 34.5376 2.9815
-50000.00 1360.00 1484.4086  1033.8743 34.5400 2.9633
-50000.00 1370.00 1484.5039  1033.9246 34.5423 2.9451
-50000.00 1380.00 1484.5992  1033.9749 34.5446 2.9269
-50000.00 1390.00 1484.6945  1034.0253 34.5469 2.9087
-50000.00 1400.00 1484.7899  1034.0756 34.5493 2.8905
-50000.00 1410.00 1484.8855  1034.1258 34.5516 2.8724
-50000.00 1420.00 1484.9847  1034.1757 34.5536 2.8552
-50000.00 1430.00 1485.0838  1034.2256 34.5556 2.8380
-50000.00 1440.00 1485.1830  1034.2755 34.5575 2.8208
-50000.00 1450.00 1485.2821  1034.3253 34.5595 2.8036
-50000.00 1460.00 1485.3813  1034.3752 34.5615 2.7863
-50000.00 1470.00 1485.4804  1034.4251 34.5635 2.7691
-50000.00 1480.00 1485.5795  1034.4750 34.5655 2.7519
-50000.00 1490.00 1485.6787  1034.5249 34.5675 2.7347
-50000.00 1500.00 1485.7778  1034.5747 34.5694 2.7175
-50000.00 1510.00 1485.8770  1034.6246 34.5714 2.7003
-50000.00 1520.00 1485.9775  1034.6744 34.5733 2.6834
-50000.00 1530.00 1486.0815  1034.7238 34.5750 2.6673
-44973.35 0.00 1511.5900  1025.0025 34.2869 16.8692
-44973.35 10.00 1511.6652  1025.0530 34.2854 16.8384
-44973.35 20.00 1511.5904  1025.1133 34.2817 16.7589
-44973.35 30.00 1511.1294  1025.1979 34.2720 16.5549
-44973.35 40.00 1510.1820  1025.3122 34.2550 16.1964
-44973.35 50.00 1508.8343  1025.4493 34.2328 15.7145
-44973.35 60.00 1507.2863  1025.5949 34.2079 15.1760
-44973.35 70.00 1505.7223  1025.7373 34.1829 14.6401
-44973.35 80.00 1504.2693  1025.8692 34.1588 14.1456
-44973.35 90.00 1502.9788  1025.9877 34.1352 13.7069
-44973.35 100.00 1501.8445  1026.0936 34.1114 13.3205
-44973.35 110.00 1500.8442  1026.1902 34.0885 12.9777
-44973.35 120.00 1499.9337  1026.2819 34.0679 12.6637
-44973.35 130.00 1499.0417  1026.3738 34.0506 12.3566
-44973.35 140.00 1498.1235  1026.4695 34.0372 12.0425
-44973.35 150.00 1497.1991  1026.5752 34.0374 11.7250
-44973.35 160.00 1496.3207  1026.6877 34.0499 11.4185
-44973.35 170.00 1495.4795  1026.8057 34.0725 11.1208
-44973.35 180.00 1494.7652  1026.9283 34.1101 10.8566
-44973.35 190.00 1494.0909  1027.0524 34.1525 10.6030
-44973.35 200.00 1493.5102  1027.1730 34.1972 10.3765
-44973.35 210.00 1493.0135  1027.2904 34.2440 10.1744
-44973.35 220.00 1492.5168  1027.4078 34.2909 9.9722
-44973.35 230.00 1492.0817  1027.5128 34.3275 9.7927
-44973.35 240.00 1491.6696  1027.6132 34.3604 9.6217
-44973.35 250.00 1491.2574  1027.7135 34.3933 9.4506
-44973.35 260.00 1490.8416  1027.8088 34.4203 9.2813
-44973.35 270.00 1490.4150  1027.8889 34.4299 9.1173
-44973.35 280.00 1489.9884  1027.9690 34.4394 8.9533
-44973.35 290.00 1489.5619  1028.0491 34.4490 8.7893
-44973.35 300.00 1489.1350  1028.1291 34.4584 8.6253
-44973.35 310.00 1488.6711  1028.1960 34.4521 8.4600
-44973.35 320.00 1488.2072  1028.2629 34.4458 8.2948
-44973.35 330.00 1487.7433  1028.3298 34.4395 8.1295
-44973.35 340.00 1487.2794  1028.3966 34.4332 7.9643
-44973.35 350.00 1486.8155  1028.4635 34.4269 7.7991
-44973.35 360.00 1486.3985  1028.5238 34.4168 7.6507
-44973.35 370.00 1485.9850  1028.5835 34.4064 7.5035
-44973.35 380.00 1485.5715  1028.6433 34.3960 7.3563
-44973.35 390.00 1485.1580  1028.7030 34.3855 7.2092
-44973.35 400.00 1484.7445  1028.7628 34.3751 7.0620
-44973.35 410.00 1484.3321  1028.8225 34.3647 6.9151
-44973.35 420.00 1484.0718  1028.8776 34.3570 6.8090
-44973.35 430.00 1483.8116  1028.9327 34.3493 6.7028
-44973.35 440.00 1483.5513  1028.9877 34.3416 6.5966
-44973.35 450.00 1483.2910  1029.0428 34.3338 6.4904
-44973.35 460.00 1483.0308  1029.0979 34.3261 6.3842
-44973.35 470.00 1482.7705  1029.1530 34.3184 6.2781
-44973.35 480.00 1482.5467  1029.2076 34.3118 6.1811
-44973.35 490.00 1482.4307  1029.2606 34.3084 6.1112
-44973.35 500.00 1482.3147  1029.3136 34.3050 6.0413
-44973.35 510.00 1482.1987  1029.3667 34.3016 5.9714
-44973.35 520.00 1482.0827  1029.4197 34.2982 5.9015
-44973.35 530.00 1481.9667  1029.4727 34.2948 5.8316
-44973.35 540.00 1481.8507  1029.5258 34.2914 5.7617
-44973.35 550.00 1481.7346  1029.5788 34.2880 5.6918
-44973.35 560.00 1481.6723  1029.6318 34.2869 5.6350
-44973.35 570.00 1481.6299  1029.6848 34.2867 5.5831
-44973.35 580.00 1481.5876  1029.7378 34.2866 5.5311
-44973.35 590.00 1481.5452  1029.7908 34.2864 5.4792
-44973.35 600.00 1481.5028  1029.8438 34.2862 5.4272
-44973.35 610.00 1481.4604  1029.8968 34.2860 5.3753
-44973.35 620.00 1481.4181  1029.9498 34.2858 5.3233
-44973.35 630.00 1481.3757  1030.0028 34.2857 5.2714
-44973.35 640.00 1481.3454  1030.0562 34.2865 5.2223
-44973.35 650.00 1481.3259  1030.1099 34.2884 5.1758
-44973.35 660.00 1481.3064  1030.1637 34.2902 5.1293
-44973.35 670.00 1481.2869  1030.2175 34.2920 5.0828
-44973.35 680.00 1481.2674  1030.2712 34.2938 5.0363
-44973.35 690.00 1481.2479  1030.3250 34.2956 4.9898
-44973.35 700.00 1481.2284  1030.3788 34.2975 4.9433
-44973.35 710.00 1481.2089  1030.4325 34.2993 4.8968
-44973.35 720.00 1481.1894  1030.4863 34.3011 4.8503
-44973.35 730.00 1481.1764  1030.5407 34.3040 4.8053
-44973.35 740.00 1481.1655  1030.5953 34.3073 4.7609
-44973.35 750.00 1481.1546  1030.6498 34.3106 4.7164
-44973.35 760.00 1481.1437  1030.7044 34.3138 4.6720
-44973.35 770.00 1481.1328  1030.7590 34.3171 4.6275
-44973.35 780.00 1481.1219  1030.8136 34.3204 4.5831
-44973.35 790.00 1481.1110  1030.8682 34.3236 4.5386
-44973.35 800.00 1481.1001  1030.9227 34.3269 4.4941
-44973.35 810.00 1481.0893  1030.9773 34.3302 4.4497
-44973.35 820.00 1481.0877  1031.0321 34.3341 4.4075
-44973.35 830.00 1481.0936  1031.0870 34.3385 4.3671
-44973.35 840.00 1481.0995  1031.1419 34.3429 4.3266
-44973.35 850.00 1481.1054  1031.1968 34.3473 4.2862
-44973.35 860.00 1481.1113  1031.2517 34.3517 4.2458
-44973.35 870.00 1481.1173  1031.3067 34.3562 4.2054
-44973.35 880.00 1481.1232  1031.3616 34.3606 4.1650
-44973.35 890.00 1481.1291  1031.4165 34.3650 4.1246
-44973.35 900.00 1481.1350  1031.4714 34.3694 4.0842
-44973.35 910.00 1481.1418  1031.5263 34.3738 4.0439
-44973.35 920.00 1481.1787  1031.5805 34.3787 4.0110
-44973.35 930.00 1481.2157  1031.6348 34.3835 3.9781
-44973.35 940.00 1481.2527  1031.6890 34.3883 3.9452
-44973.35 950.00 1481.2897  1031.7433 34.3932 3.9123
-44973.35 960.00 1481.3266  1031.7975 34.3980 3.8794
-44973.35 970.00 1481.3636  1031.8518 34.4028 3.8466
-44973.35 980.00 1481.4006  1031.9060 34.4077 3.8137
-44973.35 990.00 1481.4375  1031.9603 34.4125 3.7808
-44973.35 1000.00 1481.4745  1032.0145 34.4173 3.7479
-44973.35 1010.00 1481.5199  1032.0684 34.4220 3.7170
-44973.35 1020.00 1481.5866  1032.1213 34.4264 3.6914
-44973.35 1030.00 1481.6533  1032.1743 34.4307 3.6658
-44973.35 1040.00 1481.7200  1032.2272 34.4351 3.6402
-44973.35 1050.00 1481.7866  1032.2801 34.4395 3.6146
-44973.35 1060.00 1481.8533  1032.3331 34.4438 3.5890
-44973.35 1070.00 1481.9200  1032.3860 34.4482 3.5634
-44973.35 1080.00 1481.9866  1032.4389 34.4526 3.5378
-44973.35 1090.00 1482.0533  1032.4919 34.4569 3.5121
-44973.35 1100.00 1482.1200  1032.5448 34.4613 3.4865
-44973.35 1110.00 1482.1934  1032.5973 34.4653 3.4626
-44973.35 1120.00 1482.2765  1032.6490 34.4689 3.4412
-44973.35 1130.00 1482.3597  1032.7007 34.4724 3.4198
-44973.35 1140.00 1482.4428  1032.7525 34.4760 3.3983
-44973.35 1150.00 1482.5259  1032.8042 34.4795 3.3769
-44973.35 1160.00 1482.6091  1032.8559 34.4831 3.3554
-44973.35 1170.00 1482.6922  1032.9077 34.4866 3.3340
-44973.35 1180.00 1482.7754  1032.9594 34.4902 3.3126
-44973.35 1190.00 1482.8585  1033.0112 34.4937 3.2911
