International Seismological Centre
ISC: Event catalogue
Any use of data from the ISC should be cited. The correct format for citations may be found on our citation page.

Once the search has completed, a compressed KML file will be available to view the results in Google Earth.

Sorry a problem has occured with the map.
Search summary:
Database: ISC Bulletin
Search type: Polygon search
Coordinates: 17.193,165.938,-64.826,165.234,-65.417,-59.766,23.130,-53.438,17.193,165.938
Start date: 2023-02-28 00:00:00
End date: 2024-03-01 00:00:00
Origin depth >= 0 and <= 50
NEIC Magnitude >= 5 and <= 6
Events found: 387
Date of search: Fri Mar 1 19:04:55 2024 GMT
Agencies whose data contributed towards the results of this search are listed at the bottom of the page.

Please note:
Data on or after 2022/03/01 have not been reviewed by the ISC.

DATA_TYPE EVENT_CATALOGUE
ISC Bulletin
----EVENT-----|-----------------------ORIGIN (PRIME HYPOCENTRE)----------------|------MAGNITUDES-----...
  EVENTID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG 
635941796,se  ,NEIC     ,2023-11-21,15:32:14.82,-15.7780, 179.8499, 12.8,      ,NEIC     ,mb    , 5.2,NEIC     ,Mww   , 5.2,
636060527,se  ,NEIC     ,2023-11-24,19:26:03.40, 19.8673,-109.2911, 10.0,TRUE  ,NEIC     ,Mww   , 5.5
636062045,ke  ,IDC      ,2023-11-26,11:42:56.86,-21.2372, 174.0968,  0.0,TRUE  ,NEIC     ,M     , 5.4
636062292,se  ,IDC      ,2023-11-27,03:31:16.13,-21.1727, 173.8911,  0.0,TRUE  ,NEIC     ,M     , 5.5
636062295,se  ,IDC      ,2023-11-27,03:56:01.26,-21.1957, 173.9096,  0.0,TRUE  ,NEIC     ,M     , 5.4
636062296,se  ,IDC      ,2023-11-27,04:17:38.70,-20.9645, 173.9600,  0.0,TRUE  ,NEIC     ,M     , 5.2
636094278,se  ,IDC      ,2023-11-28,07:39:34.02,-21.3615, 173.8914,  0.0,TRUE  ,NEIC     ,M     , 5.9
636101937,se  ,IDC      ,2023-11-28,13:44:29.35,-22.9355,-175.9221,  0.0,TRUE  ,NEIC     ,M     , 5.1
636101940,se  ,GFZ      ,2023-11-28,15:26:13.15, 12.7810, -59.7760, 36.5,      ,NEIC     ,M     , 5.1
636143792,ke  ,IDC      ,2023-12-02,08:48:24.56, 16.6615, -61.2039, 47.7,      ,NEIC     ,M     , 5.2
636141820,ke  ,IDC      ,2023-12-02,09:31:33.48,-24.4111, -70.1569, 45.3,      ,NEIC     ,M     , 5.1
636144483,se  ,NEIC     ,2023-12-04,01:20:06   ,-29.2920,-116.8310, 10.0,      ,NEIC     ,M     , 5.2,
636152365,se  ,IDC      ,2023-12-06,01:58:37.71,-44.9571, -79.0001,  0.0,TRUE  ,NEIC     ,M     , 5.0
636156446,se  ,IDC      ,2023-12-06,21:07:46.13,-14.7454, 168.1322,  0.0,TRUE  ,NEIC     ,M     , 5.0
636156460,se  ,IDC      ,2023-12-07,01:17:39.31,-35.6182,-104.7595,  0.0,TRUE  ,NEIC     ,M     , 5.8
636160753,se  ,IDC      ,2023-12-07,19:12:21.41,-31.1005,-178.2465, 48.7,      ,NEIC     ,M     , 5.2
636160770,se  ,IDC      ,2023-12-08,02:53:41.52,-20.2895,-173.7671,  0.0,TRUE  ,NEIC     ,M     , 5.3
636177428,se  ,IDC      ,2023-12-08,09:58:56.04,-20.3894,-173.7870,  0.0,TRUE  ,NEIC     ,M     , 5.2
636365242,se  ,GFZ      ,2023-12-08,19:03:33.40,-20.3650, 168.8830, 10.0,TRUE  ,NEIC     ,M     , 5.3
636233519,se  ,IDC      ,2023-12-09,04:49:45.84,-46.0083, -74.7829,  0.0,TRUE  ,NEIC     ,M     , 5.1
636233524,se  ,IDC      ,2023-12-09,05:54:24.58,-29.4397,-177.2665, 46.7,      ,NEIC     ,M     , 5.0
636235349,se  ,IDC      ,2023-12-10,11:40:31.42,-14.3580, -76.4210,  0.0,TRUE  ,NEIC     ,M     , 5.0
636238954,se  ,IDC      ,2023-12-10,11:52:48.64,-14.2792, -76.3590,  0.0,TRUE  ,NEIC     ,M     , 5.8
636235353,se  ,IDC      ,2023-12-10,13:29:26.48,-24.0868,-115.5734,  0.0,TRUE  ,NEIC     ,M     , 5.1
636243344,se  ,IDC      ,2023-12-12,00:39:19.31,-15.0959,-173.5668,  0.0,TRUE  ,NEIC     ,M     , 5.0
636250672,se  ,IDC      ,2023-12-12,05:33:09.02,-15.2825,-173.4801,  0.0,TRUE  ,NEIC     ,M     , 5.7
636249598,se  ,GFZ      ,2023-12-12,12:54:08.89,-20.1040,-173.8460, 10.0,TRUE  ,NEIC     ,M     , 5.6
